"csquares","TBB_SurfSAR","OT_SurfSAR","TD_SurfSAR","Seine_SurfSAR"
"7500:371:247:3",NA,0.289603910183446,0.1480682835538,NA
"7500:371:246:4",NA,0.59177874878433,1.43845411092943,0.312880352862297
"7500:371:246:3",NA,0.110973740955982,1.3321236615743,NA
"7500:371:245:4",NA,0.203061516312389,1.47114989131167,0.623153369450741
"7500:371:245:3",NA,0.131762821676095,1.62110006386707,0.320702361683854
"7500:371:144:4",NA,0.151276407817482,1.03970711459274,0.312880352862297
"7500:371:144:3",NA,0.172489045622349,NA,NA
"7500:371:143:4",NA,0.44245025718155,NA,1.56179442803763
"7500:371:143:3",NA,0.295916787729199,NA,4.98783429187978
"7500:371:142:4",NA,0.395015351169797,NA,3.1548768913615
"7500:371:142:3",NA,0.331955648623037,0.215255083882142,0.312880352862297
"7500:371:141:4",NA,0.020914395628612,0.160482797299653,NA
"7500:371:141:3",NA,0.306417615391201,0.069293362468918,NA
"7500:371:140:4",NA,0.093442382557299,NA,NA
"7500:371:140:3",NA,0.197551873910041,NA,NA
"7500:370:249:4",NA,0.199095344108039,NA,NA
"7500:370:249:3",NA,0.392839509006849,NA,1.55657975548993
"7500:370:248:4",NA,0.714662504552249,NA,NA
"7500:370:248:3",NA,0.492256024707702,NA,0.312880352862297
"7500:370:247:4",NA,0.653414345521679,NA,0.026073362738525
"7500:370:247:3",NA,0.587795494790952,NA,NA
"7500:370:246:4",NA,0.188235598065782,NA,NA
"7500:370:246:3",NA,0.146685265382365,NA,NA
"7500:370:245:4",NA,0.449979098030076,NA,NA
"7500:370:245:3",NA,0.079218034854535,NA,0.625760705724594
"7500:370:144:4",NA,0.118040844365867,NA,0.312880352862297
"7500:370:144:3",NA,0.150142747705376,NA,1.24369940262763
"7500:370:143:4",NA,NA,NA,0.625760705724594
"7500:370:143:3",NA,0.075546059424394,NA,0.258126291111395
"7500:370:142:4",NA,0.127074375085925,NA,0.312880352862297
"7500:370:142:3",NA,0.093442382557299,NA,0.147375176906758
"7500:370:141:4",NA,0.024781468178988,NA,0.135209580585923
"7500:370:141:3",NA,NA,NA,0.486623852833396
"7500:370:140:4",NA,0.352900888819844,NA,0.375252927393048
"7500:370:140:3",NA,0.215279292344733,NA,0.815772970628946
"1500:370:140:3",NA,0.352772714643155,NA,0.32914911779555
"1500:370:140:4",NA,0.093442382557299,NA,0.312880352862297
"1500:370:141:3",NA,NA,NA,NA
"1500:370:141:4",NA,0.440757189482869,NA,NA
"1500:370:142:3",NA,0.124589843409732,NA,NA
"1500:370:142:4",NA,0.136270141229395,NA,NA
"1500:370:143:3",NA,0.422945799188839,NA,NA
"1500:370:143:4",NA,0.299494616777346,NA,NA
"1500:370:144:3",NA,0.28344189375714,NA,NA
"1500:370:144:4",NA,NA,NA,NA
"1500:370:245:3",NA,0.273920781799205,NA,NA
"1500:370:245:4",NA,0.09625743471522,NA,NA
"1500:370:246:3",NA,NA,NA,NA
"1500:370:246:4",NA,0.053789481911739,NA,NA
"1500:370:247:3",NA,0.366229922118304,NA,0.449033875337142
"1500:370:247:4",NA,2.14541624243788,NA,NA
"1500:370:248:3",NA,3.07429823715957,NA,NA
"1500:370:248:4",NA,1.33296868032259,NA,NA
"1500:370:249:3",NA,1.30394029646873,NA,0.365027078339346
"1500:370:249:4",NA,2.74316394109318,NA,NA
"1500:371:140:3",NA,0.822544343260297,NA,0.225155892114415
"1500:371:140:4",NA,0.306288741724008,NA,0.675467676343246
"1500:371:141:3",NA,0.223385708890987,NA,2.39840175912869
"1500:371:141:4",NA,NA,NA,0.448435485127877
"1500:371:142:3",NA,NA,NA,NA
"1500:371:142:4",NA,NA,NA,0.450311784228831
"1500:371:143:3",NA,NA,NA,0.225155892114415
"1500:371:143:4",NA,0.098744679369429,NA,NA
"1500:371:144:3",NA,NA,NA,NA
"1500:371:144:4",NA,NA,NA,NA
"1500:371:245:3",NA,NA,NA,NA
"1500:371:245:4",NA,NA,NA,NA
"1500:371:246:3",NA,NA,NA,NA
"1500:371:246:4",NA,NA,NA,NA
"1500:371:247:3",NA,NA,NA,NA
"1500:371:247:4",NA,NA,NA,NA
"1500:371:248:3",NA,NA,NA,NA
