"out0","out1","out2","out3","out4","out5","out6"
"Total","69 (0.1)",0.73,"0.6 (0.06)",0.15,"0.04 (0.0042)",0.95
"Upper bathyal sediment","61 (0.09)",0.71,"0.6 (0.07)",0.17,"0.04 (0.0045)",0.95
"Other","4 (0.01)",0.97,"0.1 (0.02)",0.01,"0.01 (0.0021)",0.99
