"out0","out1","out2","out3","out4","out5","out6"
"Total","639 (0.9)",0.3,"1.7 (0.04)",0.45,"0.1 (0.0019)",0.84
"Offshore circalittoral sand","239 (0.34)",0.29,"1.5 (0.05)",0.41,"0.09 (0.0023)",0.91
"Offshore circalittoral mud","105 (0.15)",0.07,"2.6 (0.07)",0.75,"0.19 (0.0052)",0.65
"Offshore circalittoral coarse sediment","76 (0.11)",0.14,"2.6 (0.15)",0.56,"0.12 (0.0044)",0.77
"Circalittoral sand","72 (0.1)",0.21,"1.7 (0.1)",0.48,"0.11 (0.0041)",0.83
"Circalittoral coarse sediment","30 (0.04)",0.35,"1.8 (0.16)",0.27,"0.09 (0.0049)",0.89
"Infralittoral sand","14 (0.02)",0.57,"1.5 (0.16)",0.25,"0.08 (0.0059)",0.91
"Other","32 (0.05)",0.47,"0.8 (0.04)",0.26,"0.07 (0.0028)",0.86
