"out0","out1","out2","out3","out4","out5","out6"
"Total","42 (0.05)",0.43,"1.4 (0.15)",0.36,"0.07 (0.0071)",0.9
"Upper bathyal sediment","25 (0.03)",0.39,"1.6 (0.19)",0.39,"0.08 (0.009)",0.85
"Other","11 (0.01)",0.65,"0.8 (0.15)",0.19,"0.03 (0.0055)",0.99
