"EUNIS habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"A5.15",130492.46740577,134198639.220525,58123.0961563638,3147167.36895373,0.445413419731182,0.0234515594735807,66461.2195723747,6353023.01498493,0.509310773975264,0.0473404428829207
"A5.27",127607.857364529,101070432.544065,42738.9665716057,3948338.06302291,0.334924255091252,0.0390652138675818,60600.4581218278,10715522.5360965,0.474895977202362,0.106020349041494
"A5.37",51546.9949273495,92291514.2197297,9837.47297568735,1512902.20033353,0.190844742541293,0.0163926468551766,15638.1137498257,3591462.32315363,0.30337585676655,0.0389143287280236
"Unknown",27943.1470896051,5593938.03891768,21953.8070936362,900841.030920364,0.785659790689898,0.161038793181674,23993.7981322524,1611833.12332388,0.858664847424364,0.288139252188738
"A5.14",16260.9465487225,7651272.04010671,12171.4368876605,456876.102157509,0.748507280999378,0.0597124373257988,13086.2945424519,796756.378951163,0.804768314270118,0.104133845297187
"A5.25 or A5.26",11139.6803875038,3019898.0618535,9014.942110925,300051.646407597,0.809263982208836,0.0993582035757315,9514.60791189255,493263.251944799,0.85411857260876,0.163337715989676
"A4.1",10416.6373956217,893652.331137217,9685.3001776565,174642.22190792,0.929791429787837,0.195425240692517,9914.32075912079,260846.755504342,0.951777467389621,0.291888407175531
"A4.27",7415.06351855689,1082059.792346,6413.4171968913,237525.150036543,0.864917364610718,0.219512037797438,6889.33680536377,407987.989992779,0.929100174006946,0.377047546613136
"A5.45",6747.01977959928,5968015.97892995,3602.48108708034,168591.745280236,0.533936642363645,0.0282492114423702,3973.42580044148,311305.256222536,0.588915688739461,0.0521622692234065
"A4.33",5007.78953545397,1170179.3856238,3895.63299971021,138317.869825131,0.777914681144254,0.118202278662939,4162.20570585976,243067.894166904,0.831146292469427,0.207718489278744
"A5.35",3413.33526491146,1551705.31469138,2192.40189604952,129573.245655179,0.642304879508046,0.0835037712563033,2483.73386938993,244240.592406722,0.727655995273103,0.157401402247114
"A4.12",2493.999704153,111776.498689821,2380.4638571812,33911.6352639315,0.954476399182111,0.303387882617758,2444.46534300488,62981.0450056039,0.98013858579629,0.563455160466026
"A4.2",2140.5085916763,688400.527859683,1664.9774828731,58419.5565348624,0.777841999489103,0.0848627422127283,1715.18664572134,80344.5212950064,0.801298650419392,0.116711882172442
"A3.1",1473.67185888102,96295.4001437162,1406.03225810254,23896.1978972605,0.954101314773122,0.248155133698979,1421.5509309663,31626.0464672986,0.964631931049903,0.328427385109759
"A5.23 or A5.24",1466.37728927175,95071.2518532985,1395.09730462716,11759.3260507366,0.951390419664786,0.123689609861056,1413.38798015509,17024.4077849274,0.963863795829128,0.179069986489683
"A6.3",1451.57205554147,1557904.1100522,456.489516808929,103517.241944774,0.314479405322149,0.0664464784943057,840.687888339333,280709.970769975,0.579156842493595,0.180184370115417
"A6.4",1150.14353902038,935030.705992459,416.638581254608,46123.8049919207,0.362249203790229,0.0493286527344191,657.63346555241,150961.735584463,0.571783819359227,0.161451099538201
"A5.44",848.302424151878,429580.200452797,565.133501029137,7501.79860962063,0.666193429299875,0.0174630921111201,619.197716041237,30760.0488381966,0.729925670860015,0.0716049035913995
"A6",604.840777902695,894908.417509473,51.8680945892601,7014.32562828535,0.0857549564847701,0.00783803738018935,100.821576322132,28807.1537069709,0.166691102858068,0.032190057824175
"A5.13",534.453576001022,178970.045178037,445.000089287079,10522.8457305006,0.832626273392598,0.0587966870100111,463.095017947826,18174.7558606555,0.866483149786129,0.101551943190133
"A4.3",341.820928060013,193932.001066022,170.840939648975,13298.3262157447,0.499796605838544,0.0685721084846511,238.693369610912,38927.225534475,0.698299460380043,0.200726158243593
"A3.2",235.417856208595,22122.6546852734,218.884257024273,7044.80823075788,0.929769137096922,0.318443167467035,218.884257024273,7044.80823075788,0.929769137096922,0.318443167467035
"A5.35 or A5.36",209.078200212761,66787.6358017634,157.764258201855,14815.6994271492,0.754570577139614,0.221832967274431,175.019994661976,22849.7388216325,0.837103028837407,0.3421252833302
"A5.36",131.867455335945,5187.08683180928,115.197407363586,30.7542594444445,0.873584820986421,0.00592900416778203,131.867455335945,5187.08683180928,1,1
"A5.33",92.9000072942925,405.228043478261,92.9000072942925,405.228043478261,1,1,92.9000072942925,405.228043478261,1,1
"A5.43",89.3216924852829,17.7123255611856,89.3216924852829,17.7123255611856,1,1,89.3216924852829,17.7123255611856,1,1
"A5.33 or A5.34",51.4417512610855,9513.69264991843,51.4417512610855,9513.69264991843,1,1,51.4417512610855,9513.69264991843,1,1
"A5.34",37.365772668766,0,37.365772668766,0,1,NA,37.365772668766,0,1,NA
"A6.2",35.9595471130638,34330.9245038142,20.6046013890991,427.904251443943,0.572993906856342,0.0124641051072307,20.6046013890991,427.904251443943,0.572993906856342,0.0124641051072307
"A3.3",31.9199507777214,17.4193569323432,31.9199507777214,17.4193569323432,1,1,31.9199507777214,17.4193569323432,1,1
