"EUNIS habitat code","Extent of habitat (10^3 km^2)","Landings 10^3 tonnes","Value 10^6 euro","Number of grid cells","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"A5.15",130.49246740577,72.1317734636753,94.6301616539667,7204,298.565315724438,0.749722376457524,0.560870075543245,2.17366606712003,0.17533494225358,0.360077734591893
"A5.27",127.607857364529,50.8708288103509,68.4163358378076,6984,249.890561047961,0.879868270332188,0.677889121918476,1.95199735954613,0.15017837872978,0.47794959908362
"A5.37",51.5469949273495,34.3468970747369,67.0077331514788,2720,233.207938953219,0.988235294117647,0.81872433570966,4.59771942328515,0.273490096030694,0.495220588235294
"Unknown",27.9431470896051,4.6407902182111,5.2227546642311,1497,14.0964194900695,0.488977955911824,0.267222281692891,0.491711622436719,0.0448511113510911,0.226452905811623
"A5.14",16.2609465487225,2.59867796782234,2.25957564458444,896,6.62826107126569,0.631696428571429,0.239743768914906,0.402239386513585,0.0595597820050352,0.264508928571429
"A5.25 or A5.26",11.1396803875038,1.18718810100887,0.812659241558209,604,6.17703366180714,0.562913907284768,0.229758061392947,0.566798012727254,0.0536008318842037,0.187086092715232
"A4.1",10.4166373956217,0.490729846320005,0.428593791994824,590,2.10185173870642,0.345762711864407,0.113807378181792,0.20128649132824,0.0214648752787984,0.122033898305085
"A4.27",7.41506351855689,0.55871029983353,0.776074403403646,416,2.88129338669071,0.512019230769231,0.198422913430298,0.376257024014805,0.039759706487521,0.201923076923077
"A5.45",6.74701977959928,4.8021896435637,3.57504776026865,371,14.9314318635534,0.743935309973046,0.486126778785434,2.14440338746498,0.16866355380524,0.285714285714286
"A4.33",5.00778953545397,0.698367288368916,0.396928104349536,289,3.9688770792446,0.491349480968858,0.297506895747168,0.777419166707193,0.0666586244396311,0.221453287197232
"A5.35",3.41333526491146,0.657290009307019,0.554202611529637,188,4.40700869626519,0.696808510638298,0.406325566151318,1.32813427741131,0.0960053438484373,0.281914893617021
"A4.12",2.493999704153,0.172293272500932,0.00870441276548044,149,0.525460366571948,0.241610738255034,0.0885748111223136,0.214485265962083,0.0201170959351535,0.100671140939597
"A4.2",2.1405085916763,0.341917541281229,0.0760519836463827,122,1.8323910245651,0.737704918032787,0.284709135162081,0.902565242855235,0.0824481056790288,0.213114754098361
"A3.1",1.47367185888102,0.048551079553642,0.0016876213401553,86,0.251637285225423,0.22093023255814,0.0719549116481726,0.174289260498732,0.0203111556002665,0.0581395348837209
"A5.23 or A5.24",1.46637728927175,0.0732658039178621,0.0229958081575368,80,0.370438568023843,0.2375,0.085774876228869,0.259761862999504,0.0247424682135157,0.0625
"A6.3",1.45157205554147,1.9385162860605,1.43895415575699,97,4.02192747059464,0.969072164948454,0.852313371736876,2.70096528693948,0.233342290471298,0.597938144329897
"A6.4",1.15014353902038,0.500761838398153,0.886449523466021,68,1.74802397816475,0.794117647058823,0.632438005748331,1.48777111386391,0.145777078456039,0.5
"A5.44",0.848302424151878,0.251511577749348,0.00637004113298209,47,0.806850001903729,0.74468085106383,0.441362044579245,0.959507600905973,0.141683976431322,0.361702127659574
"A6",0.604840777902695,0.673272556622646,0.83835598706169,37,1.51022333652609,1,0.684112841693372,2.5262844387361,0.209390119485986,0.459459459459459
"A5.13",0.534453576001022,1.00830817179897,0,30,0.660207775887852,0.433333333333333,0.273238474332217,1.23213453673902,0.099543500158676,0.166666666666667
"A4.3",0.341820928060013,0.103683365812675,0,20,0.396526373589192,0.8,0.617553919397193,1.16287931012003,0.166905076961656,NA
"A3.2",0.235417856208595,0.0238486712757831,0,14,0.0254283181910863,0.428571428571429,0.108013549187005,0.109717123283098,0.030359155520579,NA
"A5.35 or A5.36",0.209078200212761,0.0367811924321157,0.000245869250417836,12,0.324657525431047,0.833333333333333,0.543805184122702,1.57856120652562,0.134955760293385,NA
"A5.36",0.131867455335945,0.0110858282279414,0,7,0.070462308166597,0.428571428571429,0.154944248059631,0.60009427894069,0.0465811145716358,NA
"A5.33",0.0929000072942924,0.000926973488865324,0.000817868260869565,5,0.000591098879357903,0.4,0.0063627430887642,0.0064630568932444,0.00354111635162346,NA
"A5.43",0.0893216924852829,0.00104236363636364,0,5,0.000168400337663087,0.2,0.00188532407948756,0.0018479582256742,0.00141373861533334,NA
"A5.33 or A5.34",0.0514417512610855,0.0069411716513966,0,3,0.0534975095267736,0.666666666666667,0.650300515279801,1.06028931994987,0.0931698086049019,NA
"A5.34",0.037365772668766,0,0,2,0,0,0,0,0,NA
"A6.2",0.0359595471130638,0.0270500264392479,0.0313248883758245,2,0.063883727189416,1,0.531478292286568,2.04906532755816,0.209719525358103,NA
"A3.3",0.0319199507777214,0,0,2,0,0,0,0,0,NA
