"Indicators","values"
"1. Intensity",2.06488524821049
"2. Proportion of cells fished",0.766266022087196
"3. Proportion of area fished",0.556666984650696
"4. Aggregation of fishing pressure",0.359471326562292
"5. Persistently unfished areas",0.103783208409101
"6. Average impact",0.151283132798326
"7. Proportion of area with impact < 0.2",0.735751984742981
