ID,Longitude,Latitude,M2 bedstress
296,-0.31,48.04,1000000
297,-0.18,48.04,1000000
298,-0.06,48.04,1000000
299,0.06,48.04,1000000
300,0.18,48.04,1000000
301,0.31,48.04,1000000
302,0.43,48.04,1000000
303,0.56,48.04,1000000
304,0.68,48.04,1000000
305,0.81,48.04,1000000
306,0.93,48.04,1000000
307,1.06,48.04,1000000
308,1.18,48.04,1000000
309,1.31,48.04,1000000
310,1.43,48.04,1000000
311,1.56,48.04,1000000
312,1.68,48.04,1000000
313,1.81,48.04,1000000
314,1.93,48.04,1000000
315,2.06,48.04,1000000
316,2.18,48.04,1000000
317,2.31,48.04,1000000
318,2.43,48.04,1000000
319,2.56,48.04,1000000
320,2.68,48.04,1000000
321,2.81,48.04,1000000
322,2.93,48.04,1000000
323,3.06,48.04,1000000
324,3.18,48.04,1000000
325,3.31,48.04,1000000
326,3.43,48.04,1000000
327,3.56,48.04,1000000
328,3.68,48.04,1000000
329,3.81,48.04,1000000
330,3.93,48.04,1000000
331,4.06,48.04,1000000
332,4.18,48.04,1000000
333,4.31,48.04,1000000
334,4.43,48.04,1000000
335,4.56,48.04,1000000
336,4.68,48.04,1000000
337,4.81,48.04,1000000
338,4.93,48.04,1000000
339,5.06,48.04,1000000
340,5.18,48.04,1000000
341,5.31,48.04,1000000
342,5.43,48.04,1000000
343,5.56,48.04,1000000
344,5.68,48.04,1000000
345,5.81,48.04,1000000
346,5.93,48.04,1000000
347,6.06,48.04,1000000
348,6.18,48.04,1000000
349,6.31,48.04,1000000
350,6.43,48.04,1000000
351,6.56,48.04,1000000
352,6.68,48.04,1000000
353,6.81,48.04,1000000
354,6.93,48.04,1000000
355,7.06,48.04,1000000
356,7.18,48.04,1000000
357,7.31,48.04,1000000
358,7.43,48.04,1000000
359,7.56,48.04,1000000
360,7.68,48.04,1000000
361,7.81,48.04,1000000
362,7.93,48.04,1000000
363,8.06,48.04,1000000
364,8.18,48.04,1000000
365,8.31,48.04,1000000
366,8.43,48.04,1000000
367,8.56,48.04,1000000
368,8.68,48.04,1000000
369,8.81,48.04,1000000
370,8.93,48.04,1000000
371,9.06,48.04,1000000
372,9.18,48.04,1000000
373,9.31,48.04,1000000
374,9.43,48.04,1000000
375,9.56,48.04,1000000
376,9.68,48.04,1000000
377,9.81,48.04,1000000
378,9.93,48.04,1000000
379,10.06,48.04,1000000
380,10.18,48.04,1000000
381,10.31,48.04,1000000
382,10.43,48.04,1000000
383,10.56,48.04,1000000
384,10.68,48.04,1000000
385,10.81,48.04,1000000
386,10.93,48.04,1000000
387,11.06,48.04,1000000
388,11.18,48.04,1000000
389,11.31,48.04,1000000
390,11.43,48.04,1000000
391,11.56,48.04,1000000
392,11.68,48.04,1000000
393,11.81,48.04,1000000
394,11.93,48.04,1000000
395,12.06,48.04,1000000
396,12.18,48.04,1000000
397,12.31,48.04,1000000
398,12.43,48.04,1000000
399,12.56,48.04,1000000
400,12.68,48.04,1000000
401,12.81,48.04,1000000
402,12.93,48.04,1000000
403,-12.06,48.12,1000000
404,-11.93,48.12,1000000
405,-11.81,48.12,0.05
406,-11.68,48.12,0.03
407,-11.56,48.12,0.01
408,-11.43,48.12,0.02
409,-11.31,48.12,0.03
410,-11.18,48.12,0.03
411,-11.06,48.12,0.01
412,-10.93,48.12,6.95E-03
413,-10.81,48.12,3.91E-03
414,-10.68,48.12,5.41E-03
415,-10.56,48.12,7.04E-03
416,-10.43,48.12,0.02
417,-10.31,48.12,0.03
418,-10.18,48.12,0.04
419,-10.06,48.12,0.04
420,-9.93,48.12,0.05
421,-9.81,48.12,0.1
422,-9.68,48.12,0.25
423,-9.56,48.12,0.45
424,-9.43,48.12,0.39
425,-9.31,48.12,0.34
426,-9.18,48.12,0.73
427,-9.06,48.12,0.63
428,-8.93,48.12,0.23
429,-8.81,48.12,0.04
430,-8.68,48.12,0.01
431,-8.56,48.12,0.07
432,-8.43,48.12,0.08
433,-8.31,48.12,0.19
434,-8.18,48.12,0.4
435,-8.06,48.12,0.79
436,-7.93,48.12,1.21
437,-7.81,48.12,1.35
438,-7.68,48.12,1.34
439,-7.56,48.12,1.43
440,-7.43,48.12,1.54
441,-7.31,48.12,1.62
442,-7.18,48.12,1.73
443,-7.06,48.12,1.74
444,-6.93,48.12,1.69
445,-6.81,48.12,1.58
446,-6.68,48.12,1.49
447,-6.56,48.12,1.35
448,-6.43,48.12,1.12
449,-6.31,48.12,0.97
450,-6.18,48.12,0.95
451,-6.06,48.12,0.98
452,-5.93,48.12,0.97
453,-5.81,48.12,0.91
454,-5.68,48.12,0.85
455,-5.56,48.12,0.87
456,-5.43,48.12,0.96
457,-5.31,48.12,1.22
458,-5.18,48.12,0.99
459,-5.06,48.12,0.61
460,-4.93,48.12,0.39
461,-4.81,48.12,0.36
462,-4.68,48.12,0.18
463,-4.56,48.12,0.08
464,-4.43,48.12,0.06
465,-4.31,48.12,0.05
466,-4.18,48.12,1000000
467,-4.06,48.12,1000000
468,-3.93,48.12,1000000
469,-3.81,48.12,1000000
470,-3.68,48.12,1000000
471,-3.56,48.12,1000000
472,-3.43,48.12,1000000
473,-3.31,48.12,1000000
474,-3.18,48.12,1000000
475,-3.06,48.12,1000000
476,-2.93,48.12,1000000
477,-2.81,48.12,1000000
478,-2.68,48.12,1000000
479,-2.56,48.12,1000000
480,-2.43,48.12,1000000
481,-2.31,48.12,1000000
482,-2.18,48.12,1000000
483,-2.06,48.12,1000000
484,-1.93,48.12,1000000
485,-1.81,48.12,1000000
486,-1.68,48.12,1000000
487,-1.56,48.12,1000000
488,-1.43,48.12,1000000
489,-1.31,48.12,1000000
490,-1.18,48.12,1000000
491,-1.06,48.12,1000000
492,-0.93,48.12,1000000
493,-0.81,48.12,1000000
494,-0.68,48.12,1000000
495,-0.56,48.12,1000000
496,-0.43,48.12,1000000
497,-0.31,48.12,1000000
498,-0.18,48.12,1000000
499,-0.06,48.12,1000000
500,0.06,48.12,1000000
501,0.18,48.12,1000000
502,0.31,48.12,1000000
503,0.43,48.12,1000000
504,0.56,48.12,1000000
505,0.68,48.12,1000000
506,0.81,48.12,1000000
507,0.93,48.12,1000000
508,1.06,48.12,1000000
509,1.18,48.12,1000000
510,1.31,48.12,1000000
511,1.43,48.12,1000000
512,1.56,48.12,1000000
513,1.68,48.12,1000000
514,1.81,48.12,1000000
515,1.93,48.12,1000000
516,2.06,48.12,1000000
517,2.18,48.12,1000000
518,2.31,48.12,1000000
519,2.43,48.12,1000000
520,2.56,48.12,1000000
521,2.68,48.12,1000000
522,2.81,48.12,1000000
523,2.93,48.12,1000000
524,3.06,48.12,1000000
525,3.18,48.12,1000000
526,3.31,48.12,1000000
527,3.43,48.12,1000000
528,3.56,48.12,1000000
529,3.68,48.12,1000000
530,3.81,48.12,1000000
531,3.93,48.12,1000000
532,4.06,48.12,1000000
533,4.18,48.12,1000000
534,4.31,48.12,1000000
535,4.43,48.12,1000000
536,4.56,48.12,1000000
537,4.68,48.12,1000000
538,4.81,48.12,1000000
539,4.93,48.12,1000000
540,5.06,48.12,1000000
541,5.18,48.12,1000000
542,5.31,48.12,1000000
543,5.43,48.12,1000000
544,5.56,48.12,1000000
545,5.68,48.12,1000000
546,5.81,48.12,1000000
547,5.93,48.12,1000000
548,6.06,48.12,1000000
549,6.18,48.12,1000000
550,6.31,48.12,1000000
551,6.43,48.12,1000000
552,6.56,48.12,1000000
553,6.68,48.12,1000000
554,6.81,48.12,1000000
555,6.93,48.12,1000000
556,7.06,48.12,1000000
557,7.18,48.12,1000000
558,7.31,48.12,1000000
559,7.43,48.12,1000000
560,7.56,48.12,1000000
561,7.68,48.12,1000000
562,7.81,48.12,1000000
563,7.93,48.12,1000000
564,8.06,48.12,1000000
565,8.18,48.12,1000000
566,8.31,48.12,1000000
567,8.43,48.12,1000000
568,8.56,48.12,1000000
569,8.68,48.12,1000000
570,8.81,48.12,1000000
571,8.93,48.12,1000000
572,9.06,48.12,1000000
573,9.18,48.12,1000000
574,9.31,48.12,1000000
575,9.43,48.12,1000000
576,9.56,48.12,1000000
577,9.68,48.12,1000000
578,9.81,48.12,1000000
579,9.93,48.12,1000000
580,10.06,48.12,1000000
581,10.18,48.12,1000000
582,10.31,48.12,1000000
583,10.43,48.12,1000000
584,10.56,48.12,1000000
585,10.68,48.12,1000000
586,10.81,48.12,1000000
587,10.93,48.12,1000000
588,11.06,48.12,1000000
589,11.18,48.12,1000000
590,11.31,48.12,1000000
591,11.43,48.12,1000000
592,11.56,48.12,1000000
593,11.68,48.12,1000000
594,11.81,48.12,1000000
595,11.93,48.12,1000000
596,12.06,48.12,1000000
597,12.18,48.12,1000000
598,12.31,48.12,1000000
599,12.43,48.12,1000000
600,12.56,48.12,1000000
601,12.68,48.12,1000000
602,12.81,48.12,1000000
603,12.93,48.12,1000000
604,-12.06,48.2,1000000
605,-11.93,48.2,1000000
606,-11.81,48.2,0.09
607,-11.68,48.2,0.05
608,-11.56,48.2,0.02
609,-11.43,48.2,0.02
610,-11.31,48.2,0.03
611,-11.18,48.2,0.02
612,-11.06,48.2,0.01
613,-10.93,48.2,6.20E-03
614,-10.81,48.2,4.54E-03
615,-10.68,48.2,6.31E-03
616,-10.56,48.2,9.66E-03
617,-10.43,48.2,0.01
618,-10.31,48.2,0.02
619,-10.18,48.2,0.03
620,-10.06,48.2,0.03
621,-9.93,48.2,0.04
622,-9.81,48.2,0.08
623,-9.68,48.2,0.2
624,-9.56,48.2,0.36
625,-9.43,48.2,0.34
626,-9.31,48.2,0.27
627,-9.18,48.2,0.48
628,-9.06,48.2,0.52
629,-8.93,48.2,0.25
630,-8.81,48.2,0.08
631,-8.68,48.2,0.09
632,-8.56,48.2,0.17
633,-8.43,48.2,0.2
634,-8.31,48.2,0.3
635,-8.18,48.2,0.46
636,-8.06,48.2,0.76
637,-7.93,48.2,1.05
638,-7.81,48.2,1.17
639,-7.68,48.2,1.23
640,-7.56,48.2,1.34
641,-7.43,48.2,1.43
642,-7.31,48.2,1.52
643,-7.18,48.2,1.61
644,-7.06,48.2,1.61
645,-6.93,48.2,1.54
646,-6.81,48.2,1.41
647,-6.68,48.2,1.3
648,-6.56,48.2,1.15
649,-6.43,48.2,0.97
650,-6.31,48.2,0.88
651,-6.18,48.2,0.9
652,-6.06,48.2,0.95
653,-5.93,48.2,0.94
654,-5.81,48.2,0.9
655,-5.68,48.2,0.89
656,-5.56,48.2,0.92
657,-5.43,48.2,0.96
658,-5.31,48.2,0.96
659,-5.18,48.2,0.71
660,-5.06,48.2,0.51
661,-4.93,48.2,0.46
662,-4.81,48.2,0.65
663,-4.68,48.2,0.45
664,-4.56,48.2,0.16
665,-4.43,48.2,0.11
666,-4.31,48.2,1000000
667,-4.18,48.2,1000000
668,-4.06,48.2,1000000
669,-3.93,48.2,1000000
670,-3.81,48.2,1000000
671,-3.68,48.2,1000000
672,-3.56,48.2,1000000
673,-3.43,48.2,1000000
674,-3.31,48.2,1000000
675,-3.18,48.2,1000000
676,-3.06,48.2,1000000
677,-2.93,48.2,1000000
678,-2.81,48.2,1000000
679,-2.68,48.2,1000000
680,-2.56,48.2,1000000
681,-2.43,48.2,1000000
682,-2.31,48.2,1000000
683,-2.18,48.2,1000000
684,-2.06,48.2,1000000
685,-1.93,48.2,1000000
686,-1.81,48.2,1000000
687,-1.68,48.2,1000000
688,-1.56,48.2,1000000
689,-1.43,48.2,1000000
690,-1.31,48.2,1000000
691,-1.18,48.2,1000000
692,-1.06,48.2,1000000
693,-0.93,48.2,1000000
694,-0.81,48.2,1000000
695,-0.68,48.2,1000000
696,-0.56,48.2,1000000
697,-0.43,48.2,1000000
698,-0.31,48.2,1000000
699,-0.18,48.2,1000000
700,-0.06,48.2,1000000
701,0.06,48.2,1000000
702,0.18,48.2,1000000
703,0.31,48.2,1000000
704,0.43,48.2,1000000
705,0.56,48.2,1000000
706,0.68,48.2,1000000
707,0.81,48.2,1000000
708,0.93,48.2,1000000
709,1.06,48.2,1000000
710,1.18,48.2,1000000
711,1.31,48.2,1000000
712,1.43,48.2,1000000
713,1.56,48.2,1000000
714,1.68,48.2,1000000
715,1.81,48.2,1000000
716,1.93,48.2,1000000
717,2.06,48.2,1000000
718,2.18,48.2,1000000
719,2.31,48.2,1000000
720,2.43,48.2,1000000
721,2.56,48.2,1000000
722,2.68,48.2,1000000
723,2.81,48.2,1000000
724,2.93,48.2,1000000
725,3.06,48.2,1000000
726,3.18,48.2,1000000
727,3.31,48.2,1000000
728,3.43,48.2,1000000
729,3.56,48.2,1000000
730,3.68,48.2,1000000
731,3.81,48.2,1000000
732,3.93,48.2,1000000
733,4.06,48.2,1000000
734,4.18,48.2,1000000
735,4.31,48.2,1000000
736,4.43,48.2,1000000
737,4.56,48.2,1000000
738,4.68,48.2,1000000
739,4.81,48.2,1000000
740,4.93,48.2,1000000
741,5.06,48.2,1000000
742,5.18,48.2,1000000
743,5.31,48.2,1000000
744,5.43,48.2,1000000
745,5.56,48.2,1000000
746,5.68,48.2,1000000
747,5.81,48.2,1000000
748,5.93,48.2,1000000
749,6.06,48.2,1000000
750,6.18,48.2,1000000
751,6.31,48.2,1000000
752,6.43,48.2,1000000
753,6.56,48.2,1000000
754,6.68,48.2,1000000
755,6.81,48.2,1000000
756,6.93,48.2,1000000
757,7.06,48.2,1000000
758,7.18,48.2,1000000
759,7.31,48.2,1000000
760,7.43,48.2,1000000
761,7.56,48.2,1000000
762,7.68,48.2,1000000
763,7.81,48.2,1000000
764,7.93,48.2,1000000
765,8.06,48.2,1000000
766,8.18,48.2,1000000
767,8.31,48.2,1000000
768,8.43,48.2,1000000
769,8.56,48.2,1000000
770,8.68,48.2,1000000
771,8.81,48.2,1000000
772,8.93,48.2,1000000
773,9.06,48.2,1000000
774,9.18,48.2,1000000
775,9.31,48.2,1000000
776,9.43,48.2,1000000
777,9.56,48.2,1000000
778,9.68,48.2,1000000
779,9.81,48.2,1000000
780,9.93,48.2,1000000
781,10.06,48.2,1000000
782,10.18,48.2,1000000
783,10.31,48.2,1000000
784,10.43,48.2,1000000
785,10.56,48.2,1000000
786,10.68,48.2,1000000
787,10.81,48.2,1000000
788,10.93,48.2,1000000
789,11.06,48.2,1000000
790,11.18,48.2,1000000
791,11.31,48.2,1000000
792,11.43,48.2,1000000
793,11.56,48.2,1000000
794,11.68,48.2,1000000
795,11.81,48.2,1000000
796,11.93,48.2,1000000
797,12.06,48.2,1000000
798,12.18,48.2,1000000
799,12.31,48.2,1000000
800,12.43,48.2,1000000
801,12.56,48.2,1000000
802,12.68,48.2,1000000
803,12.81,48.2,1000000
804,12.93,48.2,1000000
805,-12.06,48.29,1000000
806,-11.93,48.29,1000000
807,-11.81,48.29,0.3
808,-11.68,48.29,0.18
809,-11.56,48.29,0.06
810,-11.43,48.29,0.03
811,-11.31,48.29,0.02
812,-11.18,48.29,0.01
813,-11.06,48.29,0.01
814,-10.93,48.29,4.71E-03
815,-10.81,48.29,3.56E-03
816,-10.68,48.29,5.62E-03
817,-10.56,48.29,9.99E-03
818,-10.43,48.29,0.01
819,-10.31,48.29,0.01
820,-10.18,48.29,0.01
821,-10.06,48.29,0.02
822,-9.93,48.29,0.03
823,-9.81,48.29,0.05
824,-9.68,48.29,0.14
825,-9.56,48.29,0.3
826,-9.43,48.29,0.27
827,-9.31,48.29,0.19
828,-9.18,48.29,0.25
829,-9.06,48.29,0.41
830,-8.93,48.29,0.46
831,-8.81,48.29,0.41
832,-8.68,48.29,0.4
833,-8.56,48.29,0.44
834,-8.43,48.29,0.48
835,-8.31,48.29,0.53
836,-8.18,48.29,0.63
837,-8.06,48.29,0.76
838,-7.93,48.29,0.91
839,-7.81,48.29,1.05
840,-7.68,48.29,1.18
841,-7.56,48.29,1.3
842,-7.43,48.29,1.39
843,-7.31,48.29,1.47
844,-7.18,48.29,1.46
845,-7.06,48.29,1.4
846,-6.93,48.29,1.31
847,-6.81,48.29,1.2
848,-6.68,48.29,1.08
849,-6.56,48.29,0.96
850,-6.43,48.29,0.88
851,-6.31,48.29,0.87
852,-6.18,48.29,0.9
853,-6.06,48.29,0.9
854,-5.93,48.29,0.9
855,-5.81,48.29,0.9
856,-5.68,48.29,0.93
857,-5.56,48.29,0.94
858,-5.43,48.29,0.93
859,-5.31,48.29,0.9
860,-5.18,48.29,0.81
861,-5.06,48.29,0.6
862,-4.93,48.29,0.86
863,-4.81,48.29,0.86
864,-4.68,48.29,0.14
865,-4.56,48.29,0.12
866,-4.43,48.29,1000000
867,-4.31,48.29,1000000
868,-4.18,48.29,1000000
869,-4.06,48.29,1000000
870,-3.93,48.29,1000000
871,-3.81,48.29,1000000
872,-3.68,48.29,1000000
873,-3.56,48.29,1000000
874,-3.43,48.29,1000000
875,-3.31,48.29,1000000
876,-3.18,48.29,1000000
877,-3.06,48.29,1000000
878,-2.93,48.29,1000000
879,-2.81,48.29,1000000
880,-2.68,48.29,1000000
881,-2.56,48.29,1000000
882,-2.43,48.29,1000000
883,-2.31,48.29,1000000
884,-2.18,48.29,1000000
885,-2.06,48.29,1000000
886,-1.93,48.29,1000000
887,-1.81,48.29,1000000
888,-1.68,48.29,1000000
889,-1.56,48.29,1000000
890,-1.43,48.29,1000000
891,-1.31,48.29,1000000
892,-1.18,48.29,1000000
893,-1.06,48.29,1000000
894,-0.93,48.29,1000000
895,-0.81,48.29,1000000
896,-0.68,48.29,1000000
897,-0.56,48.29,1000000
898,-0.43,48.29,1000000
899,-0.31,48.29,1000000
900,-0.18,48.29,1000000
901,-0.06,48.29,1000000
902,0.06,48.29,1000000
903,0.18,48.29,1000000
904,0.31,48.29,1000000
905,0.43,48.29,1000000
906,0.56,48.29,1000000
907,0.68,48.29,1000000
908,0.81,48.29,1000000
909,0.93,48.29,1000000
910,1.06,48.29,1000000
911,1.18,48.29,1000000
912,1.31,48.29,1000000
913,1.43,48.29,1000000
914,1.56,48.29,1000000
915,1.68,48.29,1000000
916,1.81,48.29,1000000
917,1.93,48.29,1000000
918,2.06,48.29,1000000
919,2.18,48.29,1000000
920,2.31,48.29,1000000
921,2.43,48.29,1000000
922,2.56,48.29,1000000
923,2.68,48.29,1000000
924,2.81,48.29,1000000
925,2.93,48.29,1000000
926,3.06,48.29,1000000
927,3.18,48.29,1000000
928,3.31,48.29,1000000
929,3.43,48.29,1000000
930,3.56,48.29,1000000
931,3.68,48.29,1000000
932,3.81,48.29,1000000
933,3.93,48.29,1000000
934,4.06,48.29,1000000
935,4.18,48.29,1000000
936,4.31,48.29,1000000
937,4.43,48.29,1000000
938,4.56,48.29,1000000
939,4.68,48.29,1000000
940,4.81,48.29,1000000
941,4.93,48.29,1000000
942,5.06,48.29,1000000
943,5.18,48.29,1000000
944,5.31,48.29,1000000
945,5.43,48.29,1000000
946,5.56,48.29,1000000
947,5.68,48.29,1000000
948,5.81,48.29,1000000
949,5.93,48.29,1000000
950,6.06,48.29,1000000
951,6.18,48.29,1000000
952,6.31,48.29,1000000
953,6.43,48.29,1000000
954,6.56,48.29,1000000
955,6.68,48.29,1000000
956,6.81,48.29,1000000
957,6.93,48.29,1000000
958,7.06,48.29,1000000
959,7.18,48.29,1000000
