ID,Longitude,Latitude,M2 bedstress
1,-12.06,47.95,1000000
2,-11.93,47.95,1000000
3,-11.81,47.95,1000000
4,-11.68,47.95,1000000
5,-11.56,47.95,1000000
6,-11.43,47.95,1000000
7,-11.31,47.95,1000000
8,-11.18,47.95,1000000
9,-11.06,47.95,1000000
10,-10.93,47.95,1000000
11,-10.81,47.95,1000000
12,-10.68,47.95,1000000
13,-10.56,47.95,1000000
14,-10.43,47.95,1000000
15,-10.31,47.95,1000000
16,-10.18,47.95,1000000
17,-10.06,47.95,1000000
18,-9.93,47.95,1000000
19,-9.81,47.95,1000000
20,-9.68,47.95,1000000
21,-9.56,47.95,1000000
22,-9.43,47.95,1000000
23,-9.31,47.95,1000000
24,-9.18,47.95,1000000
25,-9.06,47.95,1000000
26,-8.93,47.95,1000000
27,-8.81,47.95,1000000
28,-8.68,47.95,1000000
29,-8.56,47.95,1000000
30,-8.43,47.95,1000000
31,-8.31,47.95,1000000
32,-8.18,47.95,1000000
33,-8.06,47.95,1000000
34,-7.93,47.95,1000000
35,-7.81,47.95,1000000
36,-7.68,47.95,1000000
37,-7.56,47.95,1000000
38,-7.43,47.95,1000000
39,-7.31,47.95,1000000
40,-7.18,47.95,1000000
41,-7.06,47.95,1000000
42,-6.93,47.95,1000000
43,-6.81,47.95,1000000
44,-6.68,47.95,1000000
45,-6.56,47.95,1000000
46,-6.43,47.95,1000000
47,-6.31,47.95,1000000
48,-6.18,47.95,1000000
49,-6.06,47.95,1000000
50,-5.93,47.95,1000000
51,-5.81,47.95,1000000
52,-5.68,47.95,1000000
53,-5.56,47.95,1000000
54,-5.43,47.95,1000000
55,-5.31,47.95,1000000
56,-5.18,47.95,1000000
57,-5.06,47.95,1000000
58,-4.93,47.95,1000000
59,-4.81,47.95,1000000
60,-4.68,47.95,1000000
61,-4.56,47.95,1000000
62,-4.43,47.95,1000000
63,-4.31,47.95,1000000
64,-4.18,47.95,1000000
65,-4.06,47.95,1000000
66,-3.93,47.95,1000000
67,-3.81,47.95,1000000
68,-3.68,47.95,1000000
69,-3.56,47.95,1000000
70,-3.43,47.95,1000000
71,-3.31,47.95,1000000
72,-3.18,47.95,1000000
73,-3.06,47.95,1000000
74,-2.93,47.95,1000000
75,-2.81,47.95,1000000
76,-2.68,47.95,1000000
77,-2.56,47.95,1000000
78,-2.43,47.95,1000000
79,-2.31,47.95,1000000
80,-2.18,47.95,1000000
81,-2.06,47.95,1000000
82,-1.93,47.95,1000000
83,-1.81,47.95,1000000
84,-1.68,47.95,1000000
85,-1.56,47.95,1000000
86,-1.43,47.95,1000000
87,-1.31,47.95,1000000
88,-1.18,47.95,1000000
89,-1.06,47.95,1000000
90,-0.93,47.95,1000000
91,-0.81,47.95,1000000
92,-0.68,47.95,1000000
93,-0.56,47.95,1000000
94,-0.43,47.95,1000000
95,-0.31,47.95,1000000
96,-0.18,47.95,1000000
97,-0.06,47.95,1000000
98,0.06,47.95,1000000
99,0.18,47.95,1000000
100,0.31,47.95,1000000
101,0.43,47.95,1000000
102,0.56,47.95,1000000
103,0.68,47.95,1000000
104,0.81,47.95,1000000
105,0.93,47.95,1000000
106,1.06,47.95,1000000
107,1.18,47.95,1000000
108,1.31,47.95,1000000
109,1.43,47.95,1000000
110,1.56,47.95,1000000
111,1.68,47.95,1000000
112,1.81,47.95,1000000
113,1.93,47.95,1000000
114,2.06,47.95,1000000
115,2.18,47.95,1000000
116,2.31,47.95,1000000
117,2.43,47.95,1000000
118,2.56,47.95,1000000
119,2.68,47.95,1000000
120,2.81,47.95,1000000
121,2.93,47.95,1000000
122,3.06,47.95,1000000
123,3.18,47.95,1000000
124,3.31,47.95,1000000
125,3.43,47.95,1000000
126,3.56,47.95,1000000
127,3.68,47.95,1000000
128,3.81,47.95,1000000
129,3.93,47.95,1000000
130,4.06,47.95,1000000
131,4.18,47.95,1000000
132,4.31,47.95,1000000
133,4.43,47.95,1000000
134,4.56,47.95,1000000
135,4.68,47.95,1000000
136,4.81,47.95,1000000
137,4.93,47.95,1000000
138,5.06,47.95,1000000
139,5.18,47.95,1000000
140,5.31,47.95,1000000
141,5.43,47.95,1000000
142,5.56,47.95,1000000
143,5.68,47.95,1000000
144,5.81,47.95,1000000
145,5.93,47.95,1000000
146,6.06,47.95,1000000
147,6.18,47.95,1000000
148,6.31,47.95,1000000
149,6.43,47.95,1000000
150,6.56,47.95,1000000
151,6.68,47.95,1000000
152,6.81,47.95,1000000
153,6.93,47.95,1000000
154,7.06,47.95,1000000
155,7.18,47.95,1000000
156,7.31,47.95,1000000
157,7.43,47.95,1000000
158,7.56,47.95,1000000
159,7.68,47.95,1000000
160,7.81,47.95,1000000
161,7.93,47.95,1000000
162,8.06,47.95,1000000
163,8.18,47.95,1000000
164,8.31,47.95,1000000
165,8.43,47.95,1000000
166,8.56,47.95,1000000
167,8.68,47.95,1000000
168,8.81,47.95,1000000
169,8.93,47.95,1000000
170,9.06,47.95,1000000
171,9.18,47.95,1000000
172,9.31,47.95,1000000
173,9.43,47.95,1000000
174,9.56,47.95,1000000
175,9.68,47.95,1000000
176,9.81,47.95,1000000
177,9.93,47.95,1000000
178,10.06,47.95,1000000
179,10.18,47.95,1000000
180,10.31,47.95,1000000
181,10.43,47.95,1000000
182,10.56,47.95,1000000
183,10.68,47.95,1000000
184,10.81,47.95,1000000
185,10.93,47.95,1000000
186,11.06,47.95,1000000
187,11.18,47.95,1000000
188,11.31,47.95,1000000
189,11.43,47.95,1000000
190,11.56,47.95,1000000
191,11.68,47.95,1000000
192,11.81,47.95,1000000
193,11.93,47.95,1000000
194,12.06,47.95,1000000
195,12.18,47.95,1000000
196,12.31,47.95,1000000
197,12.43,47.95,1000000
198,12.56,47.95,1000000
199,12.68,47.95,1000000
200,12.81,47.95,1000000
201,12.93,47.95,1000000
202,-12.06,48.04,1000000
203,-11.93,48.04,1000000
204,-11.81,48.04,1000000
205,-11.68,48.04,1000000
206,-11.56,48.04,1000000
207,-11.43,48.04,1000000
208,-11.31,48.04,1000000
209,-11.18,48.04,1000000
210,-11.06,48.04,1000000
211,-10.93,48.04,1000000
212,-10.81,48.04,1000000
213,-10.68,48.04,1000000
214,-10.56,48.04,1000000
215,-10.43,48.04,1000000
216,-10.31,48.04,1000000
217,-10.18,48.04,1000000
218,-10.06,48.04,1000000
219,-9.93,48.04,1000000
220,-9.81,48.04,1000000
221,-9.68,48.04,1000000
222,-9.56,48.04,1000000
223,-9.43,48.04,1000000
224,-9.31,48.04,1000000
225,-9.18,48.04,1000000
226,-9.06,48.04,1000000
227,-8.93,48.04,1000000
228,-8.81,48.04,1000000
229,-8.68,48.04,1000000
230,-8.56,48.04,1000000
231,-8.43,48.04,1000000
232,-8.31,48.04,1000000
233,-8.18,48.04,1000000
234,-8.06,48.04,1000000
235,-7.93,48.04,1000000
236,-7.81,48.04,1000000
237,-7.68,48.04,1000000
238,-7.56,48.04,1000000
239,-7.43,48.04,1000000
240,-7.31,48.04,1000000
241,-7.18,48.04,1000000
242,-7.06,48.04,1000000
243,-6.93,48.04,1000000
244,-6.81,48.04,1000000
245,-6.68,48.04,1000000
246,-6.56,48.04,1000000
247,-6.43,48.04,1000000
248,-6.31,48.04,1000000
249,-6.18,48.04,1000000
250,-6.06,48.04,1000000
251,-5.93,48.04,1000000
252,-5.81,48.04,1000000
253,-5.68,48.04,1000000
254,-5.56,48.04,1000000
255,-5.43,48.04,1000000
256,-5.31,48.04,1000000
257,-5.18,48.04,1000000
258,-5.06,48.04,1000000
259,-4.93,48.04,1000000
260,-4.81,48.04,1000000
261,-4.68,48.04,1000000
262,-4.56,48.04,1000000
263,-4.43,48.04,1000000
264,-4.31,48.04,1000000
265,-4.18,48.04,1000000
266,-4.06,48.04,1000000
267,-3.93,48.04,1000000
268,-3.81,48.04,1000000
269,-3.68,48.04,1000000
270,-3.56,48.04,1000000
271,-3.43,48.04,1000000
272,-3.31,48.04,1000000
273,-3.18,48.04,1000000
274,-3.06,48.04,1000000
275,-2.93,48.04,1000000
276,-2.81,48.04,1000000
277,-2.68,48.04,1000000
278,-2.56,48.04,1000000
279,-2.43,48.04,1000000
280,-2.31,48.04,1000000
281,-2.18,48.04,1000000
282,-2.06,48.04,1000000
283,-1.93,48.04,1000000
284,-1.81,48.04,1000000
285,-1.68,48.04,1000000
286,-1.56,48.04,1000000
287,-1.43,48.04,1000000
288,-1.31,48.04,1000000
289,-1.18,48.04,1000000
290,-1.06,48.04,1000000
291,-0.93,48.04,1000000
292,-0.81,48.04,1000000
293,-0.68,48.04,1000000
294,-0.56,48.04,1000000
295,-0.43,48.04,1000000
