ID;replicate;poslon;poslat;SUR_SWEPT_KM2;SUBSUR_SWEPT_KM2;MSFDhab
BREEVTN02;2007;3.305833;53.525;1.737523517;1.510416953;Offshore circalittoral mud
BREEVTN03;2007;4.442222;53.187778;0.153263561;0.149949454;Circalittoral coarse sediment
BREEVTN07;2007;3.841667;52.761111;2.352049023;2.315435177;Offshore circalittoral coarse sediment
BREEVTN08;2007;3.521667;53.283333;0.760125961;0.717909626;Circalittoral sand
BREEVTN12;2007;3.288333;52.836667;3.736559698;2.640470959;Offshore circalittoral sand
BREEVTN14;2007;3.203333;52.461944;2.032575295;1.851303384;Offshore circalittoral sand
BREEVTN15;2007;3.190278;52.340278;3.098311268;2.390805025;Offshore circalittoral sand
BREEVTN17;2007;3.5;52.25;3.503463721;1.707868217;Offshore circalittoral sand
BREEVTN18;2007;3;52;2.300595618;2.281406753;Offshore circalittoral sand
BREEVTN19;2007;3.9875;52.275;2.089625177;1.865411938;Circalittoral sand
BREEVTN20;2007;4.163889;52.385556;11.56789493;3.999004158;Circalittoral sand
BREEVTN22;2007;3.407222;52.103333;1.611384795;1.493768501;Offshore circalittoral sand
BREEVTN23;2007;3.192778;51.935278;2.702631562;2.702631562;Offshore circalittoral sand
BREEVTN25;2007;2.88;51.877778;2.099029329;2.060719701;Offshore circalittoral sand
BREEVTN26;2007;3;53.5;0.804514996;0.804514996;Offshore circalittoral sand
BREEVTN34;2007;3.496111;53.5;3.162778092;1.615592789;Offshore circalittoral sand
DOGGBK02;2007;3.641667;55.166667;1.718938068;0.593411433;Offshore circalittoral mud
DOGGBK03;2007;3.5;55.25;2.724682619;0.333855433;Circalittoral sand
DOGGBK04;2007;3.233333;54.911667;1.613049924;0.408105381;Offshore circalittoral sand
DOGGBK05;2007;3.083333;54.951667;4.899492259;0.615961588;Infralittoral sand
DOGGBK07;2007;4.05;55.471667;0.776026849;0.586173241;Circalittoral sand
DOGGBK08;2007;3;55;2.803466141;0.369801456;Infralittoral coarse sediment
FRIESFT02;2007;4.916667;54.019444;5.225626826;2.48349446;Offshore circalittoral mud
FRIESFT03;2007;4.9;53.744444;2.995080554;2.360516299;Offshore circalittoral mud
FRIESFT04;2007;3.630556;53.755556;1.180166133;1.010759864;Offshore circalittoral sand
FRIESFT05;2007;5.166667;53.925;2.119352108;1.555636743;Offshore circalittoral mud
FRIESFT06;2007;5.9;54.188889;1.448795556;1.168863898;Offshore circalittoral sand
FRIESFT07;2007;4.791667;53.922222;11.41897665;4.221337629;Offshore circalittoral mud
FRIESFT08;2007;3.5;53.75;0.930901301;0.674518257;Offshore circalittoral sand
FRIESFT09;2007;4.151667;53.845;1.086868225;0.933681904;Offshore circalittoral mud
FRIESFT10;2007;5.083333;54.258333;2.187127029;1.52231142;Offshore circalittoral mud
FRIESFT12;2007;3.873333;53.858611;3.946112671;3.889861347;Offshore circalittoral sand
FRIESFT13;2007;5.983333;53.858333;1.686974349;0.624117312;Circalittoral sand
FRIESFT14;2007;4.958333;53.666667;3.197199023;2.163238382;Circalittoral mud
FRIESFT15;2007;4.375;53.483333;0.44230501;0.15409781;Circalittoral sand
FRIESFT16;2007;5.541667;54.191667;1.718819488;1.627745226;Offshore circalittoral mud
NOORDWK30;2007;4.048056;52.3875;2.404911082;2.201895701;Circalittoral sand
OESTGDN03;2007;2.933333;54.55;1.737771931;0.249834672;Offshore circalittoral sand
OESTGDN04;2007;4.38;55.306667;0.790572104;0.164473104;Offshore circalittoral sand
OESTGDN09;2007;4.741667;54.333333;1.956841427;1.543529046;Offshore circalittoral mud
OESTGDN11B;2007;5.05;54.641667;1.313610483;1.206456536;Offshore circalittoral sand
OESTGDN12;2007;3.418889;54.005833;0.443484579;0.351128272;Offshore circalittoral sand
OESTGDN14;2007;2.864167;54.083333;13.25827011;2.115110613;Offshore circalittoral sand
OESTGDN15;2007;3.641667;54.308333;0.984285892;0.648343575;Offshore circalittoral sand
OESTGDN16;2007;3.366667;54.823333;1.112595171;0.119074337;Offshore circalittoral sand
OESTGDN18;2007;5;54.5;0.688159924;0.409893599;Offshore circalittoral sand
OESTGDN19;2007;3;54.5;1.337873011;0.214856227;Offshore circalittoral sand
OESTGDN21;2007;5;55;0.755061593;0.128931719;Offshore circalittoral sand
OESTGDN23;2007;3.293333;54.861667;1.624121337;0.358374309;Offshore circalittoral sand
ROTTMPT50;2007;6.31;53.953889;0.386431512;0.352861477;Circalittoral sand
TERSLG235B;2007;3.157222;55.170556;2.591582927;0.359495828;Circalittoral sand
WALCRN30;2007;3.113611;51.718333;2.171796688;2.082696263;Offshore circalittoral sand
