"OTREST","OTCRU","TBB"
620.77,144.56,154.51
388.93,21.22,96.36
363.05,90.41,422.06
0.26,0.02,0.08
0.25,0.08,0.34
0.62,0.15,0.62
0.58,0.63,2.73
