"MSFD habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"Offshore circalittoral sand",241390.949491939,255578728.263439,74981.0612891095,2573042.95195649,0.310620847413393,0.01006751606223,116822.449907272,12863742.7942877,0.48395538504302,0.0503318209684037
"Offshore circalittoral mud",108685.268200746,163185956.611169,9646.82586028817,359350.800826875,0.0887592773150274,0.0022020939074011,20903.8861840714,3331321.56670638,0.19233412706367,0.0204142662511339
"Offshore circalittoral coarse sediment",77127.1026114986,142332204.90151,21723.6766083379,787164.132116209,0.281660737571894,0.00553047100381043,33331.9009147353,3448876.87625699,0.432168456821635,0.0242311771861014
"Circalittoral sand",68427.8693703584,151291901.531627,13057.5964087878,494397.267522289,0.190822782134497,0.00326783695965999,20751.4508882346,2282488.99493765,0.303260222467539,0.0150866567994091
"Circalittoral coarse sediment",30004.2289823398,40356260.7964147,13549.0421322867,249282.997277193,0.45157108153859,0.00617705883443345,17464.8737753184,1108840.95653841,0.58208040558543,0.0274763056501242
"Unknown",27643.070672572,36405682.5559946,19086.9695711807,84930.0299751905,0.690479353660198,0.00233287838634977,20254.1205163698,324362.014941815,0.732701542324179,0.00890965344333052
"Infralittoral sand",12754.916428,36833065.3412785,5309.65764037946,55179.4512477136,0.416283216777769,0.00149809554910637,5975.87608079504,212037.725798255,0.468515502592913,0.00575672222318749
"Offshore circalittoral mixed sediment",7269.12205009984,9367872.91502162,2207.44085161704,71227.1991207257,0.303673653627362,0.00760334814176557,3016.32657295743,263267.712044707,0.414950602310495,0.0281032540079137
"Circalittoral mud",5590.70363844673,13590138.0862411,1383.73194182065,22595.5327426061,0.247505865327016,0.00166264188040018,1962.81452275499,166034.37317923,0.351085417809827,0.0122172690318228
"Circalittoral mixed sediment",4698.57788556749,3417506.41718943,2170.04375754194,46239.0744278236,0.461851183569312,0.0135300622100516,2801.44975958571,194665.20778257,0.596233547216671,0.0569611828096182
"Offshore circalittoral rock and biogenic reef",3449.25806739145,967707.236961394,3052.9995881139,13650.7652176714,0.885117764013166,0.0141062965081618,3201.90852825717,48746.4207387909,0.928289059762541,0.0503731075649025
"Infralittoral coarse sediment",3078.90091731298,7979369.08830316,708.134119479095,12778.7694068843,0.229995747994742,0.00160147616502869,941.711225708504,61642.4031176515,0.305859542414361,0.007725222688096
"Circalittoral rock and biogenic reef",2567.65903609501,1081916.1425882,1985.47805867007,36761.151871053,0.773263907224092,0.0339778199289196,2200.86335647889,86357.288631031,0.857147824356789,0.079818837367972
"Infralittoral rock and biogenic reef",1410.64860085212,621840.584121663,1051.55109744326,7005.29480018708,0.745438018233635,0.0112654191107226,1160.20311880382,28152.9887104895,0.822460758904084,0.0452736431641158
"Infralittoral mixed sediment",1391.64756846477,10486.6660860979,1374.35832330102,7924.69518651096,0.987576419809491,0.755692526246896,1391.64756846477,10486.6660860979,1,1
"Infralittoral mud",1367.8496040184,1706307.69340204,976.353688017776,898.43008637026,0.713787309035651,0.000526534627865955,976.353688017776,898.43008637026,0.713787309035651,0.000526534627865955
"Upper bathyal rock and biogenic reef",385.202582854767,0,385.202582854767,0,1,NA,385.202582854767,0,1,NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",334.858797520065,0,334.858797520065,0,1,NA,334.858797520065,0,1,NA
"Upper bathyal sediment",144.503587414146,52650.7609276838,80.4561191995621,151.152438335673,0.556775929506686,0.00287085002519303,80.4561191995621,151.152438335673,0.556775929506686,0.00287085002519303
