"out0","out1","out2","out3","out4","out5","out6"
"Total","112 (0.13)",0.41,"1.5 (0.06)",0.45,"0.12 (0.0057)",0.82
"Upper bathyal sediment","85 (0.1)",0.43,"1.6 (0.07)",0.43,"0.12 (0.0065)",0.81
"Other","22 (0.03)",0.37,"1.6 (0.11)",0.43,"0.12 (0.01)",0.83
