"out0","out1","out2","out3","out4","out5","out6"
"Total","405 (0.46)",0.34,"1.3 (0.03)",0.44,"0.08 (0.002)",0.88
"Offshore circalittoral coarse sediment","118 (0.14)",0.33,"1.2 (0.04)",0.44,"0.07 (0.0023)",0.88
"Offshore circalittoral sand","107 (0.12)",0.17,"1.4 (0.04)",0.61,"0.08 (0.0024)",0.9
"Offshore circalittoral mud","56 (0.06)",0.05,"2.4 (0.08)",0.83,"0.17 (0.0067)",0.69
"Na","41 (0.05)",0.65,"0.3 (0.03)",0.14,"0.03 (0.0027)",0.98
"Circalittoral coarse sediment","17 (0.02)",0.54,"0.3 (0.03)",0.11,"0.03 (0.0028)",0.97
"Circalittoral sand","10 (0.01)",0.56,"0.3 (0.05)",0.12,"0.04 (0.005)",0.97
"Other","24 (0.03)",0.62,"0.5 (0.03)",0.12,"0.05 (0.0029)",0.97
