"Indicators","values"
"1. Intensity",1.98307974829824
"2. Proportion of cells fished",0.841951845158281
"3. Proportion of area fished",0.598734555800355
"4. Aggregation of fishing pressure",0.406605258555355
"5. Persistently unfished areas",0.0708913892613537
"6. Average impact",0.164294710166236
"7. Proportion of area with impact < 0.2",0.712411823004722
