"EUNIS habitat code","Extent of habitat (10^3 km^2)","Landings 10^3 tonnes","Value 10^6 euro","Number of grid cells","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"A5.27",257.872367760813,356.718995240507,204.11133477774,15150,429.148898574037,0.847722772277228,0.584582776441096,1.68980106494992,0.141976361269336,0.420660066006601
"A5.37",89.7399581646215,141.857902364785,102.014212143196,5333,261.437192537847,0.959684980311269,0.815497061238111,2.93177872050308,0.221367047478918,0.543971498218639
"A5.15",75.724113122593,85.9537393641471,133.75387649388,4087,234.775644516089,0.903841448495229,0.639632530496111,2.98024016304028,0.217924612685805,0.377049180327869
"A5.25 or A5.26",71.4057940560599,94.6652726100525,117.757432073173,3962,107.425258206503,0.910398788490661,0.614721283287993,1.50196635443798,0.165515733483063,0.467440686521959
"A5.14",31.4690340101033,25.395762846729,37.1331297349194,1672,55.4368497331391,0.760765550239234,0.427940045348282,1.7059554724015,0.13826330219554,0.263157894736842
"Unknown",23.265623193221,25.5109450460586,37.2771790110853,1313,17.2383074683424,0.398324447829398,0.253553850741842,0.716492279863372,0.0891664272014462,0.173648134044174
"A5.23 or A5.24",13.5860556709644,18.4121475239997,27.8611518920144,758,25.3624753378606,0.642480211081794,0.50722146779477,1.78151975053281,0.172402691810817,0.340369393139842
"A5.45",8.07388128377434,5.04554677828448,7.98316558688346,458,20.6354418684312,0.851528384279476,0.613990072515443,2.60749809472859,0.204573630729847,0.38646288209607
"A5.44",4.80209116512959,2.93789622019484,4.11416773174657,272,4.57011003002744,0.698529411764706,0.376707930358001,0.97256083628979,0.111100283497923,0.290441176470588
"A5.35",4.473794018222,6.240994553094,10.6257731906732,246,10.8572229465269,0.894308943089431,0.667848562266176,2.40009203473087,0.21889741680732,0.447154471544715
"A5.13",3.32796479383411,5.00152630050548,6.37802928938459,174,7.62061579657166,0.839080459770115,0.635384323097725,2.27333544904451,0.210501313253206,0.436781609195402
"A4.33",2.49891133456789,0.208520079298638,0.623911433826835,159,1.30738323835184,0.352201257861635,0.184685937134681,0.498616515984109,0.0392206806912374,0.150943396226415
"A4.1",2.05891195474887,0.254303333207683,0.735295919066848,110,0.864714143810052,0.581818181818182,0.194046153681153,0.43670563339494,0.0462242876709392,0.190909090909091
"A5.43",1.1781316340001,0.0416857152361204,0.0312738106980125,69,0.0571204601127791,0.217391304347826,0.0392519930465011,0.0490248538592181,0.00484714899527738,0.101449275362319
"A3.1",1.15903587865514,0.111355852049495,0.28658052330407,62,0.490056246922684,0.403225806451613,0.121650819351921,0.404908619682521,0.0354714163652707,0.112903225806452
"A6.4",1.09860000789837,4.50634028789664,2.04254328959547,68,3.87326783129011,0.955882352941177,0.923541745335452,3.47080080145914,0.304452833934822,0.661764705882353
"A5.33",0.984244770406876,0.500542044918472,1.15500564600687,55,1.15335409368237,0.272727272727273,0.236613375672214,1.06011380677869,0.0901865654672545,0.145454545454545
"A6",0.927292800105015,0.00694040820029643,0,60,0.0387931261565225,0.133333333333333,0.0399589495885198,0.0397726346686653,0.00394435609701405,0.0666666666666667
"A6.11",0.885137604923386,0,0,58,0.00659662303713415,0.0344827586206897,0.00745265255983009,0.00772885464086036,0.000762146393925134,0.0344827586206897
"A4.27",0.862583417614586,0.28723792390116,0.499760284587967,50,0.82611195336198,0.52,0.326227836665626,0.888665713583986,0.0776422906326407,0.24
"A4.2",0.707743106280293,0.152616232046999,0.28940118536421,41,0.532103099618537,0.609756097560976,0.365850333999103,0.730178718178512,0.0784788898351879,0.292682926829268
"A6.5",0.657800823969749,1.28983304636612,1.08957160973821,40,1.92224841252502,0.975,0.893914190815862,2.91354418363382,0.247110496200529,0.675
"A5.36",0.461159622054886,0.372562327386675,0.353578980563309,27,0.38404891589714,0.444444444444444,0.416140271343877,0.815897135463896,0.13049266901605,0.37037037037037
"A4.12",0.360994011331699,0.00968987955114644,0.0087245567431997,23,0.0220642629610439,0.478260869565217,0.0611208559378846,0.0609405572596994,0.0116940883525342,0.304347826086957
"A5.34",0.260113515457989,0.000232078125,0.00164691275167,15,0.000287848906793536,0.0666666666666667,0.00110662802848484,0.00112376219397,0.000426515276121808,NA
"A6.3",0.228526823157471,0.308434750445306,0.0757494127483337,15,0.23567525145755,0.933333333333333,0.621570058676418,1.00527905186159,0.102815374913931,NA
"A4.3",0.139805236134335,0.0108183111993424,0.0915702053807428,9,0.111046831735673,0.222222222222222,0.231940816986965,0.763694187290748,0.065219653168973,NA
"A3.2",0.11414987790065,0.121511677386446,0.284776652180585,6,0.521093736803867,1,0.879385744763873,4.29947357812792,0.285311803871696,NA
"A6.4 or A6.5",0.0803056040319138,0.0182208302683263,0.121628914868538,5,0.121600363928163,0.8,0.282539085287062,1.48324767386056,0.107590103024012,NA
"A3.3",0.07915641024366,1.86980609418283e-05,0.000209269020698547,5,0.00030797505825819,0.2,0.00389071532312011,0.003804414963296,0.000652871593415871,NA
"A5.35 or A5.36",0.0738045098534546,0.0469199564816826,0,4,0.0105443782680981,0.75,0.142869023709187,0.140616044043485,0.021070323781089,NA
