"EUNIS habitat code","Extent of habitat (10^3 km^2)","Landings 10^3 tonnes","Value 10^6 euro","Number of grid cells","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"A5.15",130.49246740577,70.8767214357551,166.201046618838,7204,284.431704695307,0.760549694614103,0.567528532796751,2.08514318060854,0.171352515401591,0.367157134925042
"A5.27",127.607857364529,53.7159493567305,131.061097941765,6984,261.33763429855,0.884736540664376,0.666476707362039,2.03914693968143,0.156493110797858,0.459908361970218
"A5.37",51.5469949273495,39.5161980167076,128.118877961164,2720,256.456347479042,0.989705882352941,0.842716373143307,5.04337654533324,0.29430344424178,0.50625
"Unknown",27.9431470896051,2.88251503313263,6.91515016923444,1497,14.1297239819173,0.491649966599866,0.263086891882313,0.497331026685933,0.045810988438578,0.224448897795591
"A5.14",16.2609465487225,2.19900331139725,6.66554639474265,896,6.63832479086204,0.580357142857143,0.216600374473802,0.402652117613552,0.0569992360879128,0.222098214285714
"A5.25 or A5.26",11.1396803875038,1.69534887810641,5.04549963143401,604,7.82848857800372,0.551324503311258,0.225298334442352,0.724572790456292,0.063592888003425,0.160596026490066
"A4.1",10.4166373956217,0.471498103831319,1.38704583504811,590,2.02281456435411,0.345762711864407,0.115044571945302,0.193122449829701,0.0213585382823648,0.128813559322034
"A4.27",7.41506351855689,0.82767400097845,2.25327194065184,416,3.70667572924136,0.524038461538462,0.219487620355002,0.487701413391404,0.0484195514423029,0.197115384615385
"A5.45",6.74701977959928,4.63704984496857,9.99653016555073,371,14.8357270817007,0.765498652291105,0.503258137547576,2.14136285946189,0.175942048318736,0.299191374663073
"A4.33",5.00778953545397,0.80495553724272,2.46203673038284,289,4.4035576078161,0.512110726643599,0.305705080656687,0.862750496409767,0.0738168109476663,0.217993079584775
"A5.35",3.41333526491146,0.740620335473636,2.30202430351735,188,4.82808994684491,0.691489361702128,0.376056705540632,1.45944869679159,0.103111572103211,0.24468085106383
"A4.12",2.493999704153,0.112079914887444,0.209425556027599,149,0.4164145080678,0.201342281879195,0.0860490253655557,0.168027788744077,0.015941982993835,0.0805369127516778
"A4.2",2.1405085916763,0.392992845610689,1.11340964390448,122,2.0467921640718,0.704918032786885,0.319193817620528,0.995042811640185,0.0902958031205267,0.229508196721311
"A3.1",1.47367185888102,0.0575495228122056,0.154162781742193,86,0.278939640160714,0.209302325581395,0.0794889642334738,0.187941786798271,0.0213401707759585,0.0813953488372093
"A5.23 or A5.24",1.46637728927175,0.117460085170684,0.364713925638889,80,0.485678285680823,0.3,0.0969043973218604,0.342627027071634,0.0325916656435172,0.075
"A6.3",1.45157205554147,2.14508684905018,1.91536086506255,97,4.55443630707579,0.989690721649485,0.808503838788298,3.07904272572949,0.275436748786908,0.54639175257732
"A6.4",1.15014353902038,0.645438822663509,1.43097877421688,68,2.11123697071728,0.838235294117647,0.657179165977004,1.81839110477872,0.172022452863237,0.485294117647059
"A5.44",0.848302424151878,0.236802948232799,0.616765230787298,47,0.856737229134472,0.659574468085106,0.383275396025137,1.01891811644867,0.142784100440348,0.297872340425532
"A6",0.604840777902695,0.676831527708458,1.1754446287212,37,1.65775505366784,1,0.760373590975261,2.82109422915764,0.254116728148518,0.513513513513513
"A5.13",0.534453576001022,1.18885926182627,3.09808323915604,30,0.783477676461262,0.466666666666667,0.234478349173305,1.45583027331725,0.0976981817501449,0.133333333333333
"A4.3",0.341820928060013,0.113820382432567,0.420395405678642,20,0.416031493717908,0.8,0.626999530810521,1.23024526261821,0.174699359877376,NA
"A3.2",0.235417856208595,0.0204937672789324,0.0530750552540343,14,0.0269320631113947,0.428571428571429,0.1144011059532,0.116709212714701,0.0316494571353551,NA
"A5.35 or A5.36",0.209078200212761,0.0391815175538167,0.138024441084625,12,0.407714623744353,0.833333333333333,0.557871060052003,1.99792884073225,0.160206276879715,NA
"A5.36",0.131867455335945,0.0175091329322944,0.0573896124507418,7,0.173942327277945,0.142857142857143,0.126415179013579,1.49063181690013,0.0952277726233085,NA
"A5.33",0.0929000072942924,0.0002761248980389,0.00111150701443539,5,2.1291496219556e-05,0.2,0.000229187239481133,0.00022439201388,0.00155303833368892,NA
"A5.43",0.0893216924852829,0.563237174004192,0.000218976939203354,5,0.0028417208533682,0.4,0.0318144537379475,0.0311467927248666,0.00985572798468592,NA
"A5.33 or A5.34",0.0514417512610855,0.0127046414432361,0.0414147339249263,3,0.131718764129252,0.666666666666667,0.652072175278561,2.61050299453764,0.231629907901863,NA
"A5.34",0.037365772668766,0,0,2,0,0,0,0,0,NA
"A6.2",0.0359595471130638,0.0493806492241843,0.0324184467584303,2,0.072392964258995,1,0.42787693206344,2.35705769033985,0.237430613668746,NA
"A3.3",0.0319199507777214,0,0,2,0,0,0,0,0,NA
