"Indicators","values"
"1. Intensity",2.12692473690553
"2. Proportion of cells fished",0.769769814165964
"3. Proportion of area fished",0.557562525312154
"4. Aggregation of fishing pressure",0.35618929347585
"5. Persistently unfished areas",0.103738856610636
"6. Average impact",0.155573683130979
"7. Proportion of area with impact < 0.2",0.723910054552712
