"Indicators","values"
"1. Intensity",0.214729105991828
"2. Proportion of cells fished",0.125983563560063
"3. Proportion of area fished",0.0773951370653971
"4. Aggregation of fishing pressure",0.0506207378912397
"5. Persistently unfished areas",0.748950865535933
"6. Average impact",0.00951692276062499
"7. Proportion of area with impact < 0.2",0.987016961007169
