"MSFD habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"Circalittoral mixed sediment",107638.827002165,2990599.21313591,103597.837677827,155474.471447518,0.962457884047208,0.0519877323462841,104890.214285291,341512.205265495,0.974464486529397,0.114195243470083
"Circalittoral mud or Circalittoral sand",51688.7408498589,2051518.46857682,48124.9140517247,127273.689685394,0.931052164561599,0.0620387735401117,50111.5602713429,406517.85627391,0.969486960746495,0.198154616934022
"Offshore circalittoral mud or Offshore circalittoral sand",32625.9860499542,1057959.49012303,30174.7286295362,130254.457068981,0.924867943710122,0.12311856766258,31449.1056804728,308631.092550629,0.963928128710671,0.291722977516596
"Circalittoral sand",32336.0131959635,7039657.32764724,24901.0467559002,192489.771256877,0.770071641330496,0.027343628005997,26679.1779524146,429728.162753927,0.825060832042985,0.0610439035244274
"Infralittoral sand",22923.628490618,3485976.20094051,16834.8364731098,178532.380160098,0.734387947353093,0.051214457549059,18534.8651114977,399314.804922882,0.808548486077739,0.114548918840911
"Circalittoral mud",22487.2295335749,4328434.45440937,17800.7136863155,41099.5219532255,0.791592119417727,0.00949523953432111,18531.5776351633,144746.624908145,0.824093408549701,0.0334408725447354
"Offshore circalittoral mud",20930.0383223955,14279341.7223342,8993.35231650852,33509.7713230252,0.42968637601038,0.00234673082097426,10319.2559203591,230324.485469,0.4930356916412,0.0161299092036401
"Infralittoral mixed sediment",20166.8335901052,781349.382075044,19291.6990561992,45799.2030383617,0.956605258331912,0.058615523463693,19548.6511531816,79247.0047093338,0.969346579166157,0.101423264070263
"Offshore circalittoral mixed sediment",19460.1842768451,7562306.73069853,13543.9700849796,65640.9109291387,0.695983650118617,0.00868001170366115,14690.4560673779,221130.786614182,0.754898096461371,0.0292411818891874
"Circalittoral coarse sediment",10979.5354442253,152925.431378796,10717.0418240588,19056.4691278585,0.976092465705856,0.124612819176266,10769.8558237113,28485.8377917799,0.980902687406109,0.186272731323677
"Infralittoral coarse sediment",6568.25592520724,236071.506412525,6057.77885792684,25602.0981341514,0.922281184976163,0.108450606865755,6345.12026018862,64189.4106232572,0.966028171319835,0.271906642181073
"Circalittoral rock and biogenic reef",6208.54353532881,21771.0729977667,6138.96710526324,3581.30712483372,0.988793437676702,0.164498420688824,6190.76898375775,10339.524909105,0.997137081914637,0.47492031789915
"Infralittoral rock and biogenic reef",3765.31161359476,19651.795271552,3711.98683452494,1374.35564039481,0.985837884206639,0.0699353734050105,3711.98683452494,1374.35564039481,0.985837884206639,0.0699353734050105
"Offshore circalittoral sand",2656.50438986551,1752644.6127852,1230.99637951975,17306.5141959089,0.463389552155819,0.00987451424530749,1427.42420089438,42848.2945313326,0.537331768146124,0.0244477940472145
"Infralittoral mud",2109.58393868752,466244.464854849,1660.1007338535,7729.01243046142,0.786932770680047,0.0165771671581509,1713.58390486281,14206.4565534017,0.812285244231105,0.0304699736388816
"Infralittoral mud or Infralittoral sand",2061.08463329996,53917.1328422243,2032.24648481887,79.5897435897437,0.986008265737774,0.00147614940547088,2048.33527085338,3534.71258741259,0.993814246033089,0.0655582446818172
"Offshore circalittoral coarse sediment",759.901118686972,37322.1139661648,724.415460063494,73.6907346232647,0.953302268215116,0.00197445232309378,724.415460063494,73.6907346232647,0.953302268215116,0.00197445232309378
"Offshore circalittoral rock and biogenic reef",287.127790569655,0,287.127790569655,0,1,NA,287.127790569655,0,1,NA
"Unknown",75.8108316984333,0,75.8108316984333,0,1,NA,75.8108316984333,0,1,NA
