"out0","out1","out2","out3","out4","out5","out6"
"Total","2 (0.01)",1,"0 (0)",0,"0 (0)",1
"Anoxic","2 (0)",1,"0 (0)",0,"0 (0)",1
"Other","0 (0)",1,"0 (0)",0,"0 (0)",1
