"out0","out1","out2","out3","out4","out5","out6"
"Total","365 (0.99)",0.9,"0.1 (0.01)",0.04,"0 (1e-04)",1
"Circalittoral mixed sediment","95 (0.26)",0.96,"0 (0)",0.01,"0 (1e-04)",1
"Anoxic","52 (0.14)",0.99,"0 (0.01)",0.01,"0 (2e-04)",1
"Circalittoral mud or Circalittoral sand","43 (0.12)",0.98,"0 (0)",0,"0 (0)",1
"Circalittoral sand","31 (0.08)",0.78,"0.1 (0.02)",0.08,"0 (4e-04)",1
"Circalittoral mud","27 (0.07)",0.88,"0.1 (0.01)",0.06,"0 (3e-04)",1
"Infralittoral sand","21 (0.06)",0.62,"0.2 (0.03)",0.16,"0.01 (8e-04)",1
"Other","56 (0.15)",0.91,"0.1 (0.01)",0.03,"0 (1e-04)",1
