"out0","out1","out2","out3","out4","out5","out6"
"Total","376 (0.7)",0.83,"0.1 (0)",0.07,"0.01 (3e-04)",0.99
"Upper bathyal sediment","246 (0.46)",0.87,"0.1 (0.01)",0.05,"0.01 (4e-04)",0.99
"Other","131 (0.24)",0.76,"0.2 (0.01)",0.11,"0.01 (5e-04)",0.99
