"out0","out1","out2","out3","out4","out5","out6"
"Total","158 (0.3)",0.93,"0 (0)",0.02,"0 (1e-04)",1
"Offshore circalittoral coarse sediment","8 (0.02)",0.82,"0.1 (0.01)",0.03,"0 (7e-04)",1
"Offshore circalittoral mud","3 (0.01)",0.78,"0.1 (0.03)",0.07,"0 (0.0011)",1
"Offshore circalittoral mixed sediment","2 (0)",0.82,"0.1 (0.02)",0.05,"0 (8e-04)",1
"Circalittoral coarse sediment","1 (0)",0.99,"0 (0)",0,"0 (2e-04)",1
"Offshore circalittoral sand","0 (0)",0.91,"0 (0.05)",0.03,"0 (0.0014)",1
"Upper bathyal sediment","0 (0)",0.85,"0.1 (0.09)",0.05,"0 (0.0025)",1
"Other","144 (0.27)",0.94,"0 (0)",0.02,"0 (1e-04)",1
