"out0","out1","out2","out3","out4","out5","out6"
"Total","69 (0.1)",0.73,"111.7 (13.21)",0.27,"0.23 (0.0119)",0.74
"Upper bathyal sediment","61 (0.09)",0.71,"122 (14.4)",0.29,"0.25 (0.0128)",0.71
"Upper bathyal rock and biogenic reef","2 (0)",0.99,"30.1 (23.36)",0.01,"0.03 (0.0155)",0.99
"Upper bathyal sediment or Upper bathyal rock and biogenic reef","2 (0)",0.97,"0.1 (0.08)",0.03,"0 (0.0027)",0.99
"Other","2 (0)",0.75,"136.2 (28.26)",0.25,"0.11 (0.015)",0.75
