"out0","out1","out2","out3","out4","out5","out6"
"Total","640 (0.9)",0.26,"587 (13.71)",0.74,"0.7 (0.0045)",0.27
"Offshore circalittoral sand","239 (0.34)",0.21,"501.2 (13.96)",0.79,"0.76 (0.0057)",0.23
"Offshore circalittoral mud","105 (0.15)",0.04,"647.3 (17.07)",0.96,"0.89 (0.0059)",0.05
"Offshore circalittoral coarse sediment","76 (0.11)",0.15,"640.3 (27.69)",0.84,"0.73 (0.0094)",0.19
"Circalittoral sand","72 (0.1)",0.15,"1087.1 (47.92)",0.85,"0.75 (0.009)",0.17
"Circalittoral coarse sediment","30 (0.04)",0.34,"709.1 (43.93)",0.65,"0.63 (0.0125)",0.37
"Infralittoral sand","14 (0.02)",0.41,"1081.7 (96.02)",0.59,"0.56 (0.0169)",0.42
"Na","9 (0.01)",0.75,"471.2 (65.81)",0.25,"0.21 (0.0133)",0.76
"Circalittoral mud","8 (0.01)",0.28,"998.1 (92.31)",0.72,"0.57 (0.0199)",0.28
"Other","33 (0.05)",0.49,"346.2 (17.21)",0.51,"0.35 (0.0071)",0.51
