"out0","out1","out2","out3","out4","out5","out6"
"Total","69 (0.1)",0.62,"1.2 (0.08)",0.29,"0.07 (0.0046)",0.88
"Upper bathyal sediment","61 (0.09)",0.59,"1.3 (0.08)",0.3,"0.07 (0.005)",0.88
"Other","4 (0.01)",0.82,"0.5 (0.08)",0.15,"0.03 (0.0044)",0.95
