"DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
18.45,210.48,518.48,28.71,10.24,84.96,241.99,60.27,106.09,0.02
66.82,66.52,418.1,8.37,23.24,6.68,22.05,25.28,41.99,0.29
171.55,143.96,340.29,24.62,14.32,17.64,47.69,77.05,178.48,0.63
3.62,0.32,0.81,0.29,2.27,0.08,0.09,0.42,0.4,13.47
9.3,0.68,0.66,0.86,1.4,0.21,0.2,1.28,1.68,29.45
