"out0","out1","out2","out3","out4","out5","out6"
"Total","640 (0.9)",0.27,"1.8 (0.04)",0.49,"0.11 (0.0019)",0.8
"Offshore circalittoral sand","239 (0.34)",0.26,"1.7 (0.05)",0.45,"0.1 (0.0023)",0.87
"Offshore circalittoral mud","105 (0.15)",0.05,"2.7 (0.07)",0.81,"0.21 (0.0047)",0.54
"Offshore circalittoral coarse sediment","76 (0.11)",0.14,"2.7 (0.14)",0.57,"0.13 (0.0041)",0.75
"Circalittoral sand","72 (0.1)",0.14,"1.9 (0.09)",0.6,"0.12 (0.0039)",0.8
"Circalittoral coarse sediment","30 (0.04)",0.35,"1.8 (0.14)",0.34,"0.09 (0.0046)",0.88
"Infralittoral sand","14 (0.02)",0.43,"1.5 (0.13)",0.37,"0.08 (0.0055)",0.9
"Other","32 (0.05)",0.45,"0.9 (0.04)",0.31,"0.07 (0.0027)",0.86
