"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",1.85,1.2,0
"Proportion of area in fished cells (I-2)",0.73,0.38,0
"Proportion of area fished per year (I-3)",0.5,0.29,0
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.33,0.19,NA
"Proportion of area in unfished cells (I-5)",0.16,0.54,1
"Average PD impact (I-6)",0.11,NA,NA
"Proportion of area with PD impact < 0.2 (I-7)",0.8,NA,NA
