"Indicators","values"
"1. Intensity",1.67664456386511
"2. Proportion of cells fished",0.680695150762824
"3. Proportion of area fished",0.502588627250249
"4. Aggregation of fishing pressure",0.336082969607176
"5. Persistently unfished areas",0.182236815761022
"6. Average impact",0.0865258059449758
"7. Proportion of area with impact < 0.2",0.874104032354943
