"OTREST","OTCRU","TBB"
543.25,123.78,21.31
4800.53,17.72,13.26
240.72,63.09,52.47
4.53,0.02,0.06
0.23,0.09,0.25
8.84,0.14,0.62
0.44,0.51,2.46
