"EUNIS habitat code","Total area km^2","Total value euro","Area with the least value constituting 5% of the swept area","Value of the lowest 5% area","Fraction of total area with the least value constituting 5% of the swept area","Fraction of total value from the lowest 5% area","Area with the least value constituting 10% of the swept area","Value of the lowest 10% area","Fraction of total area with the least value constituting 10% of the swept area","Fraction of total value from the lowest 10% area"
"A5.27",257872.367760813,271653011.425244,109282.185752218,10685308.1876829,0.423784008737151,0.0393343999082571,142469.786675569,24790602.6035764,0.552481787454309,0.0912583389873394
"A5.37",89739.9581646215,139258377.210086,11706.4835759367,1530975.56540162,0.130448952900802,0.0109937771505981,21529.5138883062,5823033.2946528,0.239910005850591,0.0418145996766006
"A5.15",75724.113122593,159140303.076649,25667.0416536819,2297974.7318933,0.338954668404349,0.0144399293420127,33465.094667928,5428565.64422395,0.441934455062549,0.0341118217024464
"A5.25 or A5.26",71405.7940560599,134402632.974496,17666.9396284171,1818283.9204604,0.247416051623864,0.0135286331838858,26241.7210799432,5268551.50943897,0.367501285110577,0.0391997641180045
"A5.14",31469.0340101033,42073938.9417059,16495.0217228422,848705.595876555,0.524166763986032,0.0201717646891215,19012.7844542472,1829587.14843793,0.60417439086764,0.0434850454808345
"Unknown",23265.623193221,33463866.6931561,15717.6588792021,193587.139912775,0.675574376352049,0.00578496028829707,16370.2526049238,447478.799245514,0.703624075270577,0.013371999217802
"A5.23 or A5.24",13586.0556709644,27559488.4263866,6254.20677415642,155696.124983753,0.460340140333938,0.00564945628071539,6887.27910833452,400665.902943356,0.506937353646634,0.0145382198952482
"A5.45",8073.88128377434,11147695.4553367,3041.45102235191,204241.06486541,0.376702470033113,0.0183213710567986,3598.58191753437,428819.271331829,0.445706568012866,0.0384670780655873
"A5.44",4802.09116512959,5069232.61092852,2853.39087647219,160836.899193749,0.594197564842606,0.0317280565991405,3094.93087659015,266510.417529631,0.644496485003035,0.052574114858149
"A5.35",4473.794018222,10872630.8210464,1459.28016914579,105509.727582337,0.326184031540583,0.00970415802016371,1926.52623013583,291209.684246523,0.430624705180657,0.0267837369850563
"A5.13",3327.96479383411,5931905.15467576,1078.17838073949,54053.0663125243,0.323975296474617,0.0091122607160901,1249.31591135818,124501.718694888,0.375399377322995,0.0209884877536775
"A4.33",2498.91133456789,624494.841490657,2333.84038067284,15026.9582995032,0.933942852788894,0.0240625819480496,2333.84038067284,15026.9582995032,0.933942852788894,0.0240625819480496
"A4.1",2058.91195474887,760131.133507888,1671.13446832891,58835.0114382059,0.811659024308663,0.0774011336263671,1798.35871092002,108455.934847216,0.873451002492901,0.142680558743475
"A5.43",1178.1316340001,32327.8369878665,1161.43889109564,12371.851371943,0.985831173340296,0.382699633649676,1161.43889109564,12371.851371943,0.985831173340296,0.382699633649676
"A3.1",1159.03587865514,361760.175538199,1005.89047391631,25086.1535610195,0.867868279525106,0.069344707508775,1041.69300163098,39193.059115478,0.898758201376542,0.108339894122313
"A6.4",1098.60000789837,1833120.6941135,156.517253025314,24115.7611477412,0.142469735936679,0.0131555773851561,391.799726705811,131591.927713977,0.356635466856883,0.0717857411879882
"A5.33",984.244770406876,1067424.38605244,733.997558373218,2715.62111605559,0.745746973153632,0.00254408757335826,733.997558373218,2715.62111605559,0.745746973153632,0.00254408757335826
"A6",927.292800105015,0,927.292800105015,0,1,NA,927.292800105015,0,1,NA
"A6.11",885.137604923386,0,885.137604923386,0,1,NA,885.137604923386,0,1,NA
"A4.27",862.583417614586,880349.866576055,609.708618642338,16239.1880638951,0.706840180545604,0.0184462890044548,609.708618642338,16239.1880638951,0.706840180545604,0.0184462890044548
"A4.2",707.743106280293,311463.452899094,529.197915780407,20835.7534890034,0.747725991372391,0.0668963029050912,579.79216284087,41117.8529089265,0.819212730856683,0.132015016613354
"A6.5",657.800823969749,976851.014387507,144.995817306499,18925.2721983456,0.220425107453449,0.0193737549734868,210.924279018787,49359.9632946741,0.320650676212116,0.0505296739908932
"A5.36",461.159622054886,587746.184516271,286.755613263851,3808.26897990569,0.621814225595237,0.00647944483559683,304.078336110401,10453.3403824219,0.659377624509829,0.0177854670226829
"A4.12",360.994011331699,21590.0846998788,330.307632845394,8495.39805686193,0.914994771317386,0.3934860921092,360.994011331699,21590.0846998788,1,1
"A5.34",260.113515457989,15658.9203592467,243.037013665581,0,0.934349809688509,0,243.037013665581,0,0.934349809688509,0
"A6.3",228.526823157471,110890.854260583,164.242566538486,20927.7821216058,0.718701482255814,0.188724149174895,164.242566538486,20927.7821216058,0.718701482255814,0.188724149174895
"A4.3",139.805236134335,71154.027316765,107.378695446281,0,0.768059183013035,0,123.683824148827,8684.00087080765,0.884686636700664,0.122045106907976
"A3.2",114.14987790065,260843.203259961,17.5229343659859,1731.96485364957,0.153508130610853,0.0066398695921682,17.5229343659859,1731.96485364957,0.153508130610853,0.0066398695921682
"A6.4 or A6.5",80.3056040319138,131659.854590273,63.8860759014664,0,0.795536957496488,0,63.8860759014664,0,0.795536957496488,0
"A3.3",79.15641024366,1100.43403280272,79.15641024366,1100.43403280272,1,1,79.15641024366,1100.43403280272,1,1
"A5.35 or A5.36",73.8045098534546,6185.63157824223,54.4900078939743,0,0.738301873451488,0,73.8045098534546,6185.63157824223,1,1
