"Indicators","values"
"1. Intensity",2.03090971580641
"2. Proportion of cells fished",0.826794146796479
"3. Proportion of area fished",0.595902600639122
"4. Aggregation of fishing pressure",0.400687926310266
"5. Persistently unfished areas",0.0708913892613537
"6. Average impact",0.169253526920403
"7. Proportion of area with impact < 0.2",0.706319594240075
