"EUNIS habitat code","Extent of habitat (10^3 km^2)","Landings 10^3 tonnes","Value 10^6 euro","Number of grid cells","Swept area 10^3 km^2","Proportion of grid cells fished (indicator 2)","Proportion of area fished (indicator 3)","Fishing intensity per year (indicator 1)","Average impact (indicator 6)","Proportion of habitat fished with 90% of effort (indicator 4)"
"A5.27",257.872367760813,202.607886336294,316.636877000624,15150,415.330231038921,0.813927392739274,0.567447791027697,1.63936449714565,0.140297737836333,0.408976897689769
"A5.37",89.7399581646215,135.677699128157,173.562295204814,5333,303.645256912976,0.967372960810051,0.856231583735862,3.4151495176499,0.251176770755617,0.56609788111757
"A5.15",75.724113122593,68.4980722418943,176.974900372811,4087,226.427223552391,0.903596770247125,0.631078021741399,2.87360378718766,0.216085445060554,0.373623684854416
"A5.25 or A5.26",71.4057940560599,75.4107841636651,154.355072074817,3962,116.046979940571,0.909893992932862,0.630409611112375,1.62673238255966,0.180681537399647,0.470469459868753
"A5.14",31.4690340101033,18.9816023348958,47.4837102881513,1672,55.9193648756781,0.726674641148325,0.406079872183132,1.7217963721467,0.136619253346259,0.238636363636364
"Unknown",23.265623193221,19.8406579206892,36.0612241465515,1313,20.9256187555377,0.3998476770754,0.239835165179764,0.870194938933124,0.0943294494824166,0.146230007616146
"A5.23 or A5.24",13.5860556709644,15.5405679897705,32.0188422451951,758,23.4500835645124,0.633245382585752,0.482278307086948,1.6413864615182,0.146792103850218,0.317941952506596
"A5.45",8.07388128377434,4.60853062031034,12.1880081501816,458,19.0903780113825,0.860262008733624,0.600189352133989,2.40559895010963,0.200843041089027,0.388646288209607
"A5.44",4.80209116512959,2.77219188377044,7.2841984227928,272,5.17489648979596,0.727941176470588,0.415869111878693,1.10156689181861,0.137076179858879,0.316176470588235
"A5.35",4.473794018222,5.3071027804068,14.4425905960491,246,10.5840124720595,0.90650406504065,0.64938616099206,2.3308798122165,0.211402185337837,0.422764227642276
"A5.13",3.32796479383411,6.7358143999851,8.80799044212496,174,6.57960311342158,0.844827586206897,0.608557103481112,1.95791863063891,0.172188454055039,0.425287356321839
"A4.33",2.49891133456789,0.230816358059343,0.856211949478126,159,1.29578628082663,0.377358490566038,0.181358734356247,0.49834792940728,0.0373203667947509,0.132075471698113
"A4.1",2.05891195474887,0.428606353173111,1.5315216194251,110,1.0206511912394,0.581818181818182,0.198270555505605,0.520437318159996,0.0546093625320823,0.190909090909091
"A5.43",1.1781316340001,0.092023922027123,0.0414362810218708,69,0.0451577508583172,0.173913043478261,0.0341413679724173,0.0387997132467298,0.00365173265046492,0.101449275362319
"A3.1",1.15903587865514,0.090099646025146,0.358484420217495,62,0.430750586720128,0.338709677419355,0.116120845783606,0.363933598314091,0.0326044123430097,0.0967741935483871
"A6.4",1.09860000789837,4.40549271660809,1.98101623986603,68,3.84976099286693,0.955882352941177,0.929181709110586,3.47086045587242,0.309751624067015,0.705882352941177
"A5.33",0.984244770406876,0.417858746877655,1.16484333820696,55,0.821562734927058,0.254545454545455,0.24447261305599,0.759879060441099,0.0801910262882513,0.163636363636364
"A6",0.927292800105015,0.00582177916527916,0,60,0.0466678686630131,0.133333333333333,0.0479646080604908,0.0478880029650937,0.00467121590642783,0.0666666666666667
"A6.11",0.885137604923386,0.000486447186147186,0,58,0.00432999791821396,0.0517241379310345,0.00489189239518159,0.00460696761540817,0.000492052077246896,0.0517241379310345
"A4.27",0.862583417614586,0.343567112642919,1.16767375112196,50,0.896416371647017,0.56,0.296893481344888,0.946525043694519,0.0803887929244583,0.2
"A4.2",0.707743106280293,0.152480568305414,0.428861673829046,41,0.462847300705331,0.609756097560976,0.349952172941958,0.639715123188452,0.0672368310043658,0.292682926829268
"A6.5",0.657800823969749,1.33292938393988,1.14998393281766,40,1.95177968221942,0.975,0.88933380376175,2.96061358241223,0.25451220652966,0.675
"A5.36",0.461159622054886,0.151522631627328,0.431634314491845,27,0.209154206272889,0.518518518518518,0.356756950941001,0.444504879683348,0.0694297429493359,0.37037037037037
"A4.12",0.360994011331699,0.0110044592384885,0.0265412763559007,23,0.0368587069576063,0.434782608695652,0.102103375127015,0.102048722036396,0.0174281162315668,0.260869565217391
"A5.34",0.260113515457989,0.013320968340005,0.087776855488877,15,0.0072927865196026,0.0666666666666667,0.028036938052842,0.0284710401394775,0.00941692022132334,NA
"A6.3",0.228526823157471,0.495888059740936,0.0874713721864602,15,0.841506179709174,1,0.994187470208232,3.70854478898213,0.37953033969111,NA
"A4.3",0.139805236134335,0.0116348728290519,0.0900320749031663,9,0.102735242889326,0.222222222222222,0.226596599192018,0.706858022888602,0.0608776176041064,NA
"A3.2",0.11414987790065,0.127770949933482,0.352022217474117,6,0.285027917579084,1,0.754867938649912,2.37208916767681,0.225875652909484,NA
"A6.4 or A6.5",0.0803056040319138,0.0228302714363775,0.121158124442857,5,0.125795725085154,0.8,0.380946765158244,1.5368691121043,0.113832710546417,NA
"A3.3",0.07915641024366,0.000217193485998441,0.00204896872341585,5,0.0015593367400636,0.2,0.0196994372946378,0.019262482034314,0.00183239312296801,NA
"A5.35 or A5.36",0.0738045098534546,0.0221692577777602,0.018244448157147,4,0.00611220557630468,0.5,0.0828161529483904,0.0948964709568547,0.0105080324004247,NA
