"Indicators","values"
"1. Intensity",2.51562181689508
"2. Proportion of cells fished",0.740037071362373
"3. Proportion of area fished",0.579280912150257
"4. Aggregation of fishing pressure",0.387241272783441
"5. Persistently unfished areas",0.165276490577695
"6. Average impact",0.147715492675334
"7. Proportion of area with impact < 0.2",0.765214704973741
