"OTREST","OTCRU","TBB"
177.96,130.46,3.1
6026.05,21.26,0.31
58.71,31.56,2.67
16.66,0.04,0.01
0.16,0.06,0.1
33.86,0.16,0.1
0.33,0.24,0.86
