"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mixed sediment",19.09,2842,5.58,4.94,16.23,0.85,0.35,0.21,0.07
"Offshore circalittoral mud",21.77,2509,6.22,5.21,15.79,0.73,0.42,0.24,0.12
"Circalittoral sand",32.63,6404,5.16,5.31,12.69,0.39,0.33,0.16,0.06
"Infralittoral sand",26.35,4471,2.95,3.39,8.89,0.34,0.33,0.16,0.06
"Circalittoral mud",29.6,6409,4.55,4.39,8.52,0.29,0.16,0.1,0.03
"Circalittoral mixed sediment",102.88,14187,4.52,2.27,4.41,0.04,0.06,0.02,0.02
"Offshore circalittoral sand",2.73,778,1.64,1.41,4.09,1.5,0.6,0.41,0.15
"Circalittoral mud or Circalittoral sand",54.45,8160,1.38,0.98,1.19,0.02,0.08,0.02,0.03
"Infralittoral mixed sediment",21.46,6989,0.3,0.76,0.66,0.03,0.05,0.02,0.01
"Infralittoral coarse sediment",8.26,2895,0.22,0.28,0.36,0.04,0.12,0.03,0.04
"Offshore circalittoral mud or Offshore circalittoral sand",33.82,3091,1.04,0.15,0.36,0.01,0.08,0.01,0.05
"Circalittoral coarse sediment",12.23,4540,0.37,0.21,0.35,0.03,0.07,0.02,0.02
"Infralittoral mud",3.06,2022,0.1,0.13,0.15,0.05,0.08,0.03,0.02
"Circalittoral rock and biogenic reef",7.63,3386,0.02,0.01,0.02,0,0.01,0,0
"Infralittoral mud or Infralittoral sand",4.6,2054,0.02,0.09,0.02,0,0.01,0,0.01
"Infralittoral rock and biogenic reef",5.3,2722,0,0.01,0.02,0,0.02,0,0.01
"Offshore circalittoral coarse sediment",0.73,529,0,0,0.01,0.01,0.1,0.01,0.03
"Offshore circalittoral rock and biogenic reef",0.21,206,0,0,0,0,0,0,0
"Unknown",0.14,62,0,0,0,0,0,0,NA
