"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",0.2,0,NA
"Proportion of area in fished cells (I-2)",0.16,0,NA
"Proportion of area fished per year (I-3)",0.08,0,NA
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.05,NA,NA
"Proportion of area in unfished cells (I-5)",0.75,1,NA
"Average PD impact (I-6)",0,0,NA
"Proportion of area with PD impact < 0.2 (I-7)",1,1,NA
