"out0","out1","out2","out3","out4","out5","out6"
"Total","158 (0.08)",0.8,"0.3 (0.02)",0.13,"0.01 (8e-04)",0.98
"Offshore circalittoral coarse sediment","8 (0)",0.4,"1.7 (0.24)",0.44,"0.07 (0.0086)",0.89
"Offshore circalittoral mud","3 (0)",0.41,"1.2 (0.23)",0.41,"0.05 (0.0107)",0.91
"Offshore circalittoral mixed sediment","2 (0)",0.29,"1.6 (0.23)",0.6,"0.06 (0.0094)",0.95
"Circalittoral coarse sediment","1 (0)",0.89,"0.7 (0.58)",0.07,"0.04 (0.0275)",0.95
"Offshore circalittoral sand","0 (0)",0.49,"1.8 (0.86)",0.42,"0.1 (0.0675)",0.88
"Upper bathyal sediment","0 (0)",0,"2.9 (2.35)",0.78,"0.1 (0.0599)",0.84
"Other","144 (0.07)",0.84,"0.2 (0.01)",0.09,"0.01 (6e-04)",0.99
