"out0","out1","out2","out3","out4","out5","out6"
"Total","376 (0.18)",0.73,"0.6 (0.02)",0.18,"0.03 (9e-04)",0.96
"Upper bathyal sediment","246 (0.12)",0.73,"0.5 (0.02)",0.16,"0.03 (0.0011)",0.97
"Other","131 (0.06)",0.72,"0.6 (0.02)",0.2,"0.04 (0.0015)",0.94
