"out0","out1","out2","out3","out4","out5","out6"
"Total","365 (0.99)",0.92,"0 (0)",0.02,"0 (1e-04)",1
"Circalittoral mixed sediment","95 (0.26)",0.97,"0 (0)",0.01,"0 (1e-04)",1
"Anoxic","52 (0.14)",0.99,"0 (0)",0,"0 (1e-04)",1
"Circalittoral mud or Circalittoral sand","43 (0.12)",0.99,"0 (0)",0,"0 (0)",1
"Circalittoral sand","31 (0.08)",0.81,"0.1 (0.01)",0.06,"0 (3e-04)",1
"Circalittoral mud","27 (0.07)",0.91,"0 (0.01)",0.03,"0 (2e-04)",1
"Infralittoral sand","21 (0.06)",0.7,"0.1 (0.02)",0.1,"0 (4e-04)",1
"Other","56 (0.15)",0.93,"0 (0)",0.02,"0 (1e-04)",1
